Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Novavax,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_5Plus,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_5Plus,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Novavax,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_5Plus,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Novavax,Series_Complete_Unk_Manuf,Series_Complete_Janssen_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Unk_Manuf_5Plus,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_5Plus,Additional_Doses_5Plus_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Second_Booster,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,Second_Booster_Janssen,Second_Booster_Moderna,Second_Booster_Pfizer,Second_Booster_Unk_Manuf,Administered_Bivalent,Admin_Bivalent_PFR,Admin_Bivalent_MOD,Dist_Bivalent_PFR,Dist_Bivalent_MOD,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
2023-02-01,5,AL,12069210,402300,5165260,6479350,22300.0,0,246150,261872.0,288263,316372,1420180,6971439,6954382.0,6817945,6485480,2226502,179774,3017910,3772167,713.0,875.0,142182,150893.0,162841,170005,261992,7121899,3184573,64.9,3175681.0,68.9,3100775,74.1,2928270,76.8,838547,95.0,2604726,53.1,2601340.0,56.4,2548337,60.9,2411114,63.2,723614,85.1,168817,1063129,1369266,222.0,1027.0,168808.0,1062609.0,1368675.0,1027.0,168802,1062429,1315865,1021.0,168698,1061632,1179560,1011.0,37219,383140,302709,522.0,1033545.0,39.7,1033216.0,39.7,1027578.0,40.3,1002420.0,41.6,749607.0,53.4,455561.0,63.0,495776.0,521054.0,16405.0,255.0,,293600.0,39.2,204187.0,44.8,330.0,161272.0,173535.0,50.0,,,,,,345616.0,7.5,344325.0,8.2,337596.0,8.8,187525.0,22.1
2023-02-01,5,DE,3231895,102300,1204600,1921095,3900.0,0,331897,351658.0,384838,419622,1710850,2152406,2141317.0,2074247,1951681,703388,63574,820039,1266002,173.0,2618.0,221040,232994.0,246991,253402,372348,2125383,858189,88.1,852923.0,92.8,820254,95.0,767636,95.0,224656,95.0,713369,73.3,710963.0,77.4,684446,81.5,639469,83.0,193220,95.0,58056,249080,403871,66.0,884.0,58052.0,248533.0,403429.0,883.0,58045,248408,377058,869.0,57995,248174,332408,827.0,10096,80105,102613,397.0,366703.0,51.4,366623.0,51.6,360848.0,52.7,345039.0,54.0,243552.0,65.8,143977.0,74.5,151528.0,209706.0,5341.0,124.0,,132577.0,54.4,89632.0,62.3,92.0,65589.0,92716.0,29.0,,,,,,193796.0,21.1,190946.0,22.7,185393.0,24.1,97012.0,51.4
2023-02-01,5,AR,8173760,264200,3355620,4528740,25200.0,0,270851,288893.0,319631,352675,1560230,4838797,4820822.0,4685885,4405455,1493030,126231,2061641,2642659,3616.0,4650.0,160342,170387.0,183239,190083,284994,4890864,2107392,69.8,2096972.0,74.1,2025184,79.2,1885278,81.3,522906,95.0,1714777,56.8,1710592.0,60.5,1657181,64.8,1543631,66.6,440059,84.0,115930,691077,904058,829.0,1413.0,115808.0,689523.0,903129.0,1397.0,115799,689220,850494,1330.0,115348,687860,738928,1242.0,15954,245840,177643,583.0,762595.0,44.5,762428.0,44.6,753669.0,45.5,727769.0,47.1,510217.0,60.0,308871.0,70.2,357455.0,393457.0,10331.0,642.0,,241380.0,47.3,167619.0,54.3,122.0,136551.0,149260.0,142.0,,,,,,310674.0,11.0,306951.0,12.0,299643.0,12.9,166729.0,31.8
2023-02-01,5,VA,26078095,803000,9083000,16164595,27500.0,0,305524,324757.0,356893,390702,1919050,19413886,19257017.0,18434755,17196333,4891965,509455,6888173,11998682,2185.0,15391.0,227448,239812.0,252290,257636,359993,19639241,7762027,90.9,7685853.0,95.0,7303410,95.0,6757088,95.0,1560119,95.0,6532633,76.5,6489333.0,80.8,6166924,84.4,5687569,85.2,1326523,95.0,462880,2117433,3928763,711.0,5811.0,462774.0,2099438.0,3920680.0,5730.0,461938,2096776,3602287,5213.0,460352,2090164,3131873,4500.0,73883,614269,636983,1272.0,3479159.0,53.3,3476669.0,53.6,3393369.0,55.0,3210642.0,56.5,1945552.0,68.7,1031857.0,77.8,1356142.0,2075084.0,46063.0,1658.0,,1078380.0,55.4,649840.0,63.0,915.0,600076.0,877353.0,558.0,,,,,,1685219.0,21.0,1640292.0,22.4,1574983.0,23.6,662613.0,48.8
2023-02-01,5,KY,11810995,393500,4699200,6707695,10600.0,0,264366,281545.0,310312,340885,1573620,7454022,7423471.0,7222862,6841048,2249622,241375,3034510,4174944,424.0,2769.0,166843,176957.0,189767,197444,299724,7536309,3073532,68.8,3058236.0,72.9,2957468,77.7,2776923,80.1,749519,95.0,2661336,59.6,2654206.0,63.3,2571471,67.6,2415325,69.7,670864,89.4,215448,1013558,1426794,201.0,2008.0,215425.0,1010257.0,1426316.0,2007.0,215412,1009767,1344108,1985.0,215273,1009222,1188774,1874.0,39076,306853,324020,888.0,1287934.0,48.4,1287689.0,48.5,1272521.0,49.5,1230410.0,50.9,846311.0,63.3,486983.0,72.6,563847.0,699110.0,24559.0,387.0,,409631.0,48.4,272042.0,55.9,319.0,210685.0,286040.0,154.0,,,,,,524335.0,12.5,517486.0,13.6,504655.0,14.6,260523.0,34.7
2023-02-01,5,MS,7071965,234400,2776360,4054505,6700.0,0,237621,253233.0,280475,310505,1453070,4276877,4270447.0,4178969,3951383,1324176,95634,1724390,2451976,275.0,4602.0,143705,152916.0,165738,173491,272076,4339051,1833420,61.6,1829644.0,65.5,1781592,70.7,1665612,73.1,456154,93.7,1596571,53.6,1595305.0,57.1,1556661,61.7,1459677,64.1,419222,86.1,88484,602581,902904,96.0,1983.0,88471.0,601876.0,902885.0,1977.0,88459,601680,864498,1928.0,88357,601191,768247,1786.0,17908,212372,188233,696.0,656540.0,41.1,656523.0,41.2,652032.0,41.9,635589.0,43.5,473066.0,57.0,280443.0,66.9,296283.0,350603.0,8567.0,1062.0,,183579.0,38.8,125600.0,44.8,155.0,99163.0,108255.0,298.0,,,,,,179471.0,6.4,178245.0,7.1,175111.0,7.7,100580.0,20.7
2023-02-01,5,KS,8107045,262000,3019140,4805705,20200.0,0,278276,297181.0,330671,366327,1705000,5331274,5292020.0,5099372,4769072,1573629,139144,1996124,3186021,709.0,9276.0,182997,193990.0,207994,215496,330951,5458291,2218475,76.1,2199691.0,80.6,2104718,85.8,1951983,88.2,512099,95.0,1900513,65.2,1890744.0,69.3,1813677,74.0,1682510,76.0,461421,95.0,128376,666366,1097754,216.0,2206.0,128372.0,662602.0,1097370.0,2184.0,128359,662167,1020864,2072.0,128223,661616,890590,1878.0,18754,214625,227335,665.0,930297.0,48.9,930011.0,49.2,912456.0,50.3,871638.0,51.8,573187.0,64.3,337008.0,73.0,380603.0,537263.0,11629.0,756.0,,301026.0,52.5,203706.0,60.4,253.0,149073.0,230187.0,344.0,,,,,,432156.0,15.8,422890.0,17.2,407591.0,18.4,201910.0,42.5
2023-02-01,5,MD,21683380,616200,7267260,13770020,29900.0,0,358659,381498.0,419986,460272,2260110,14560215,14431680.0,13805372,12830113,3585314,370592,5241929,8920060,3033.0,24601.0,240837,253912.0,267396,272344,373705,14708037,5540242,91.6,5479369.0,95.0,5191954,95.0,4778290,95.0,1054510,95.0,4814877,79.6,4778395.0,84.1,4527739,87.7,4162870,88.4,952134,95.0,331220,1597550,2865487,784.0,6525.0,331177.0,1576437.0,2863530.0,6491.0,331019,1574967,2614993,6035.0,330780,1573587,2252774,5059.0,55629,450829,444085,1502.0,2727944.0,56.7,2725162.0,57.0,2654528.0,58.6,2501760.0,60.1,1502947.0,72.4,763462.0,80.2,1076336.0,1612787.0,36696.0,1860.0,,914946.0,60.9,531914.0,69.7,847.0,517554.0,756412.0,1191.0,,,,,,1372282.0,24.1,1334352.0,25.8,1276739.0,27.1,507968.0,52.9
2023-02-01,5,NE,5319600,152200,1798180,3363420,5800.0,0,274999,294955.0,328897,364772,1702500,3777423,3752891.0,3609179,3376390,1103997,96279,1323346,2347392,397.0,10009.0,195275,208086.0,223146,231524,353327,3795191,1418530,73.3,1405844.0,77.9,1339548,82.8,1239220,85.0,317985,95.0,1280669,66.2,1273124.0,70.6,1215452,75.1,1124677,77.1,297280,95.0,89911,431991,754840,135.0,2401.0,89894.0,426255.0,754454.0,2386.0,89881,425984,697148,2304.0,89801,425630,607019,2100.0,7091,143043,146082,1048.0,709768.0,55.4,709199.0,55.7,692902.0,57.0,658533.0,58.6,415659.0,71.9,239054.0,80.4,263511.0,437958.0,7147.0,1110.0,,239014.0,57.5,155990.0,65.3,129.0,104767.0,208125.0,598.0,,,,,,314868.0,17.5,307952.0,19.0,296325.0,20.3,142079.0,45.5
2023-02-01,5,FL,59929875,2466100,21915820,35494855,53100.0,0,279033,294670.0,320549,347464,1332560,41828165,41743419.0,40843058,38793468,14405871,1505411,15545893,24596726,3619.0,176516.0,194751,205248.0,218458,224918,320320,41685215,17691493,82.4,17643734.0,86.8,17179243,91.9,16175991,93.8,4931075,95.0,14891661,69.3,14869974.0,73.1,14500836,77.6,13667396,79.2,4234069,94.1,1385589,5021652,8426280,1189.0,50409.0,1384765.0,5008358.0,8425614.0,50048.0,1384701,5007025,8060034,47890.0,1383671,5004453,7232303,45822.0,216559,2023826,1970123,23333.0,6526761.0,43.8,6526076.0,43.9,6479104.0,44.7,6301692.0,46.1,4577729.0,58.2,2801483.0,66.2,2722531.0,3680594.0,110447.0,12942.0,,2037242.0,44.5,1430067.0,51.0,2363.0,1073960.0,1264505.0,5569.0,,,,,,2269454.0,11.2,2248388.0,12.0,2208362.0,12.8,1283765.0,28.5
