"SP500.203020.Open","SP500.203020.High","SP500.203020.Low","SP500.203020.Close","SP500.203020.Volume","SP500.203020.Adjusted","Date"
99.839996,99.93,98.690002,99.739998,5818800,99.739998,"2013-01-02"
99.839996,102.599998,99.459999,101.93,6772200,101.93,"2013-01-03"
102.309998,104.029999,102.309998,103.650002,6872200,103.650002,"2013-01-04"
103.93,103.93,103.93,103.93,0,103.93,"2013-01-07"
105.080002,105.080002,105.080002,105.080002,0,105.080002,"2013-01-08"
104.790001,104.790001,104.790001,104.790001,0,104.790001,"2013-01-09"
105.459999,105.459999,105.459999,105.459999,0,105.459999,"2013-01-10"
105.269997,105.269997,105.269997,105.269997,0,105.269997,"2013-01-11"
104.980003,104.980003,104.980003,104.980003,0,104.980003,"2013-01-14"
105.550003,105.550003,105.550003,105.550003,0,105.550003,"2013-01-15"
107.459999,107.459999,107.459999,107.459999,0,107.459999,"2013-01-16"
108.599998,108.599998,108.599998,108.599998,0,108.599998,"2013-01-17"
107.269997,107.269997,107.269997,107.269997,0,107.269997,"2013-01-18"
109.360001,109.360001,109.360001,109.360001,0,109.360001,"2013-01-22"
108.220001,108.220001,108.220001,108.220001,0,108.220001,"2013-01-23"
109.080002,109.080002,109.080002,109.080002,0,109.080002,"2013-01-24"
108.980003,108.980003,108.980003,108.980003,0,108.980003,"2013-01-25"
108.889999,108.889999,108.889999,108.889999,0,108.889999,"2013-01-28"
107.940002,107.940002,107.940002,107.940002,0,107.940002,"2013-01-29"
107.080002,107.080002,107.080002,107.080002,0,107.080002,"2013-01-30"
106.790001,106.790001,106.790001,106.790001,0,106.790001,"2013-01-31"
106.980003,106.980003,106.980003,106.980003,0,106.980003,"2013-02-01"
106.980003,108.32,106.220001,106.510002,0,106.510002,"2013-02-04"
106.510002,108.220001,106.510002,107.360001,0,107.360001,"2013-02-05"
107.360001,109.459999,106.980003,109.269997,0,109.269997,"2013-02-06"
109.080002,110.980003,108.790001,110.599998,0,110.599998,"2013-02-07"
110.599998,111.650002,109.839996,110.889999,0,110.889999,"2013-02-08"
110.889999,111.839996,110.790001,110.980003,0,110.980003,"2013-02-11"
110.980003,111.080002,109.75,110.32,0,110.32,"2013-02-12"
110.410004,110.980003,109.940002,110.599998,0,110.599998,"2013-02-13"
110.510002,110.510002,108.510002,108.790001,0,108.790001,"2013-02-14"
109.269997,111.940002,109.269997,110.510002,0,110.510002,"2013-02-15"
110.150002,111.459999,110.129997,111.459999,0,111.459999,"2013-02-19"
111.459999,111.459999,108.889999,109.839996,0,109.839996,"2013-02-20"
108.889999,109.360001,107.739998,109.080002,0,109.080002,"2013-02-21"
109.550003,110.790001,109.169998,110.220001,0,110.220001,"2013-02-22"
110.510002,111.650002,107.839996,107.839996,0,107.839996,"2013-02-25"
108.129997,108.510002,106.980003,108.410004,0,108.410004,"2013-02-26"
108.599998,112.599998,108.599998,112.599998,0,112.599998,"2013-02-27"
112.599998,113.269997,111.459999,112.029999,0,112.029999,"2013-02-28"
111.370003,113.839996,111.370003,112.599998,0,112.599998,"2013-03-01"
112.029999,114.790001,111.940002,114.599998,0,114.599998,"2013-03-04"
114.699997,115.650002,114.220001,115.370003,0,115.370003,"2013-03-05"
115.370003,116.220001,114.220001,115.370003,0,115.370003,"2013-03-06"
114.790001,115.370003,113.839996,115.18,0,115.18,"2013-03-07"
115.18,117.080002,115.18,116.699997,0,116.699997,"2013-03-08"
116.800003,117.459999,114.989998,117.459999,0,117.459999,"2013-03-11"
117.559998,118.610001,117.18,117.269997,0,117.269997,"2013-03-12"
117.650002,119.370003,117.650002,118.610001,0,118.610001,"2013-03-13"
118.699997,119.459999,117.940002,119.080002,0,119.080002,"2013-03-14"
119.559998,119.559998,117.75,117.940002,0,117.940002,"2013-03-15"
116.989998,119.940002,115.650002,119.75,0,119.75,"2013-03-18"
120.029999,120.889999,119.080002,120.419998,0,120.419998,"2013-03-19"
