"Date","Open","High","Low","Close"
"01/02/2013","609.3","621.4","621.4","621.4"
"01/02/2014","763.92","757.7","757.7","757.7"
"01/02/2015","793.86","790.14","790.14","790.14"
"01/02/2018","1,201.32","1,203.53","1,203.53","1,203.53"
"01/02/2019","1,158.55","1,157.68","1,157.68","1,157.68"
"01/02/2020","1,470.66","1,491.56","1,491.56","1,491.56"
"01/03/2013","621.42","624.03","624.03","624.03"
"01/03/2014","757.74","757.43","757.43","757.43"
"01/03/2017","924.95","919.00","919.00","919.00"
"01/03/2018","1,203.67","1,212.57","1,212.57","1,212.57"
"01/03/2019","1,157.55","1,125.82","1,125.82","1,125.82"
"01/03/2020","1,490.78","1,480.21","1,480.21","1,480.21"
"01/03/2022","1,708.49","1,715.50","1,715.50","1,715.50"
"01/04/2013","624.27","625.34","625.34","625.34"
"01/04/2016","904.59","888.74","888.74","888.74"
"01/04/2017","919.07","924.24","924.24","924.24"
"01/04/2018","1,213.66","1,215.07","1,215.07","1,215.07"
"01/04/2019","1,129.11","1,163.79","1,163.79","1,163.79"
"01/04/2021","1,493.07","1,442.77","1,442.77","1,442.77"
"01/04/2022","1,715.91","1,709.45","1,709.45","1,709.45"
"01/05/2015","789.95","776.75","776.75","776.75"
"01/05/2016","888.83","893.82","893.82","893.82"
"01/05/2017","924.57","929.30","929.30","929.30"
"01/05/2018","1,215.25","1,216.63","1,216.63","1,216.63"
"01/05/2021","1,442.18","1,456.43","1,456.43","1,456.43"
"01/05/2022","1,709.60","1,670.89","1,670.89","1,670.89"
"01/06/2014","757.34","752.12","752.12","752.12"
"01/06/2015","776.68","773.55","773.55","773.55"
"01/06/2016","893.17","882.59","882.59","882.59"
"01/06/2017","929.94","936.58","936.58","936.58"
"01/06/2020","1,477.67","1,476.89","1,476.89","1,476.89"
"01/06/2021","1,455.51","1,463.28","1,463.28","1,463.28"
"01/06/2022","1,670.90","1,681.14","1,681.14","1,681.14"
"01/07/2013","624.95","626.61","626.61","626.61"
"01/07/2014","752.21","759.11","759.11","759.11"
"01/07/2015","773.81","790.79","790.79","790.79"
"01/07/2016","881.88","859.59","859.59","859.59"
"01/07/2019","1,163.66","1,176.58","1,176.58","1,176.58"
"01/07/2020","1,476.85","1,473.70","1,473.70","1,473.70"
"01/07/2021","1,463.05","1,468.00","1,468.00","1,468.00"
"01/07/2022","1,680.67","1,670.92","1,670.92","1,670.92"
"01/08/2013","626.55","622.42","622.42","622.42"
"01/08/2014","758.79","759.59","759.59","759.59"
"01/08/2015","791.12","802.53","802.53","802.53"
"01/08/2016","862.5","856.75","856.75","856.75"
"01/08/2018","1,216.53","1,216.37","1,216.37","1,216.37"
"01/08/2019","1,178.51","1,186.95","1,186.95","1,186.95"
"01/08/2020","1,474.08","1,490.15","1,490.15","1,490.15"
"01/08/2021","1,468.51","1,487.80","1,487.80","1,487.80"
"01/09/2013","622.41","620.1","620.1","620.1"
"01/09/2014","759.69","757.65","757.65","757.65"
"01/09/2015","803.18","791.03","791.03","791.03"
"01/09/2017","937.17","940.58","940.58","940.58"
"01/09/2018","1,216.15","1,219.97","1,219.97","1,219.97"
"01/09/2019","1,186.65","1,187.59","1,187.59","1,187.59"
"01/09/2020","1,494.80","1,504.86","1,504.86","1,504.86"
"01/10/2013","620.31","624.01","624.01","624.01"
"01/10/2014","757.93","761.16","761.16","761.16"
"01/10/2017","940.58","942.76","942.76","942.76"
"01/10/2018","1,220.60","1,222.62","1,222.62","1,222.62"
"01/10/2019","1,187.34","1,195.66","1,195.66","1,195.66"
"01/10/2020","1,505.10","1,496.94","1,496.94","1,496.94"
"01/10/2022","1,668.99","1,647.91","1,647.91","1,647.91"
"01/11/2013","625.18","626.32","626.32","626.32"
"01/11/2016","857.03","867.87","867.87","867.87"
"01/11/2017","944.35","946.41","946.41","946.41"
"01/11/2018","1,222.94","1,231.33","1,231.33","1,231.33"
"01/11/2019","1,196.07","1,196.53","1,196.53","1,196.53"
"01/11/2021","1,486.36","1,476.64","1,476.64","1,476.64"
"01/11/2022","1,647.69","1,653.40","1,653.40","1,653.40"
"01/12/2015","791.12","789.29","789.29","789.29"
"01/12/2016","867.89","879.74","879.74","879.74"
"01/12/2017","946.07","946.34","946.34","946.34"
"01/12/2018","1,231.62","1,239.32","1,239.32","1,239.32"
"01/12/2021","1,476.68","1,464.52","1,464.52","1,464.52"
"01/12/2022","1,654.08","1,642.87","1,642.87","1,642.87"
"01/13/2014","760.44","747.88","747.88","747.88"
"01/13/2015","791.7","789.16","789.16","789.16"
"01/13/2016","878.86","858.16","858.16","858.16"
"01/13/2017","946.38","943.89","943.89","943.89"
"01/13/2020","1,498.46","1,502.03","1,502.03","1,502.03"
"01/13/2021","1,464.20","1,460.34","1,460.34","1,460.34"
"01/13/2022","1,643.59","1,638.18","1,638.18","1,638.18"
"01/14/2013","626.42","624.02","624.02","624.02"
"01/14/2014","747.9","752.54","752.54","752.54"
"01/14/2015","787.07","782.17","782.17","782.17"
"01/14/2016","856.99","868.59","868.59","868.59"
"01/14/2019","1,196.25","1,184.76","1,184.76","1,184.76"
"01/14/2020","1,502.52","1,506.14","1,506.14","1,506.13"
"01/14/2021","1,463.32","1,457.75","1,457.75","1,457.75"
"01/14/2022","1,637.81","1,625.23","1,625.23","1,625.23"
"01/15/2013","623.86","625.71","625.71","625.71"
"01/15/2014","752.16","756.09","756.09","756.09"
"01/15/2015","782.63","776.68","776.68","776.68"
"01/15/2016","860.67","853.86","853.86","853.86"
"01/15/2019","1,185.50","1,193.10","1,193.10","1,193.10"
"01/15/2020","1,506.20","1,513.60","1,513.60","1,513.60"
"01/15/2021","1,457.39","1,449.82","1,449.82","1,449.82"
"01/16/2013","625.48","621.58","621.58","621.58"
"01/16/2014","756.07","755.14","755.14","755.14"
"01/16/2015","776.62","781.8","781.8","781.8"
"01/16/2018","1,239.57","1,238.18","1,238.18","1,238.18"
"01/16/2019","1,193.52","1,187.24","1,187.24","1,187.24"
"01/16/2020","1,514.25","1,529.53","1,529.53","1,529.53"
"01/17/2013","622.27","625.36","625.36","625.36"
"01/17/2014","755.14","752.07","752.07","752.07"
"01/17/2017","942.86","945.81","945.81","945.81"
"01/17/2018","1,238.23","1,250.89","1,250.89","1,250.89"
"01/17/2019","1,187.02","1,197.43","1,197.43","1,197.43"
"01/17/2020","1,530.06","1,545.32","1,545.32","1,545.32"
"01/18/2013","625.46","627.61","627.61","627.61"
"01/18/2017","945.45","950.22","950.22","950.22"
"01/18/2018","1,250.76","1,251.30","1,251.30","1,251.30"
"01/18/2019","1,197.74","1,210.15","1,210.15","1,210.15"
"01/18/2022","1,624.47","1,595.52","1,595.52","1,595.52"
"01/19/2016","854.12","860.72","860.72","860.72"
"01/19/2017","951.04","946.50","946.50","946.50"
"01/19/2018","1,251.58","1,262.82","1,262.82","1,262.82"
"01/19/2021","1,449.83","1,454.20","1,454.20","1,454.20"
"01/19/2022","1,595.80","1,580.19","1,580.19","1,580.19"
"01/20/2015","782.26","778.58","778.58","778.58"
"01/20/2016","860.63","848.49","848.49","848.49"
"01/20/2017","947.57","946.27","946.27","946.27"
"01/20/2021","1,454.45","1,480.23","1,480.23","1,480.23"
"01/20/2022","1,580.61","1,572.01","1,572.01","1,572.01"
"01/21/2014","752.22","747.61","747.61","747.61"
"01/21/2015","777.93","778.77","778.77","778.77"
"01/21/2016","848.78","868.33","868.33","868.33"
"01/21/2020","1,543.58","1,517.20","1,517.20","1,517.20"
"01/21/2021","1,479.98","1,479.64","1,479.64","1,479.64"
"01/21/2022","1,571.71","1,556.90","1,556.90","1,556.90"
"01/22/2013","627.34","630.34","630.34","630.34"
"01/22/2014","748.12","747.29","747.29","747.29"
"01/22/2015","779.18","792.54","792.54","792.54"
"01/22/2016","862.35","871.94","871.94","871.94"
"01/22/2018","1,263.07","1,268.25","1,268.25","1,268.25"
"01/22/2019","1,209.65","1,210.65","1,210.65","1,210.65"
"01/22/2020","1,519.28","1,516.05","1,516.05","1,516.05"
"01/22/2021","1,479.23","1,465.29","1,465.29","1,465.29"
"01/23/2013","630.14","630.95","630.95","630.95"
"01/23/2014","747.05","742.47","742.47","742.47"
"01/23/2015","799.9","799.48","799.48","799.48"
"01/23/2017","946.19","945.49","945.49","945.49"
"01/23/2018","1,267.89","1,271.65","1,271.65","1,271.65"
"01/23/2019","1,212.47","1,218.88","1,218.88","1,218.88"
"01/23/2020","1,514.54","1,526.36","1,526.36","1,526.36"
"01/24/2013","631.71","632.03","632.03","632.03"
"01/24/2014","742.33","732.02","732.02","732.02"
"01/24/2017","945.51","952.03","952.03","952.03"
"01/24/2018","1,271.74","1,272.42","1,272.42","1,272.42"
"01/24/2019","1,218.85","1,219.06","1,219.06","1,219.06"
"01/24/2020","1,526.12","1,499.24","1,499.24","1,499.24"
"01/24/2022","1,555.31","1,566.32","1,566.32","1,566.32"
"01/25/2013","635.95","637.34","637.34","637.34"
"01/25/2016","872.67","860.22","860.22","860.22"
"01/25/2017","951.69","959.87","959.87","959.87"
"01/25/2018","1,272.43","1,270.44","1,270.44","1,270.44"
"01/25/2019","1,228.10","1,226.80","1,226.80","1,226.80"
"01/25/2021","1,465.31","1,451.30","1,451.30","1,451.30"
"01/25/2022","1,565.86","1,556.21","1,556.21","1,556.21"
"01/26/2015","798.06","806.89","806.89","806.89"
"01/26/2016","860.07","875.34","875.34","875.34"
"01/26/2017","960.02","964.31","964.31","964.31"
"01/26/2018","1,270.72","1,267.59","1,267.59","1,267.59"
"01/26/2021","1,451.14","1,456.68","1,456.68","1,456.68"
"01/26/2022","1,557.02","1,554.49","1,554.49","1,554.49"
"01/27/2014","732.17","727.36","727.36","727.36"
"01/27/2015","806.64","800.91","800.91","800.91"
"01/27/2016","875.38","866.21","866.21","866.21"
"01/27/2017","964.33","957.30","957.30","957.30"
"01/27/2020","1,496.35","1,459.05","1,459.05","1,459.05"
"01/27/2021","1,456.10","1,396.44","1,396.44","1,396.44"
"01/27/2022","1,554.59","1,529.41","1,529.41","1,529.41"
"01/28/2013","637.57","638.97","638.97","638.97"
"01/28/2014","727.39","731.38","731.38","731.38"
"01/28/2015","801.62","790.81","790.81","790.81"
"01/28/2016","868.59","874.57","874.57","874.57"
"01/28/2019","1,226.49","1,226.78","1,226.78","1,226.78"
"01/28/2020","1,460.47","1,473.80","1,473.80","1,473.80"
"01/28/2021","1,396.49","1,412.26","1,412.26","1,412.26"
"01/28/2022","1,529.67","1,568.74","1,568.74","1,568.74"
"01/29/2013","638.87","638.09","638.09","638.09"
"01/29/2014","730.99","716.95","716.95","716.95"
"01/29/2015","791.69","805.93","805.93","805.93"
"01/29/2016","874.33","892.96","892.96","892.96"
"01/29/2018","1,265.50","1,260.82","1,260.82","1,260.82"
"01/29/2019","1,226.89","1,224.15","1,224.15","1,224.15"
"01/29/2020","1,473.96","1,483.14","1,483.14","1,483.14"
"01/29/2021","1,411.98","1,394.62","1,394.62","1,394.62"
"01/30/2013","638.33","638.12","638.12","638.12"
"01/30/2014","717.06","723.14","723.14","723.14"
"01/30/2015","805.43","792.11","792.11","792.11"
"01/30/2017","957.22","954.70","954.70","954.70"
"01/30/2018","1,260.74","1,244.08","1,244.08","1,244.08"
"01/30/2019","1,224.44","1,240.67","1,240.67","1,240.67"
"01/30/2020","1,478.66","1,481.89","1,481.89","1,481.89"
"01/31/2013","638.54","641.04","641.04","641.04"
"01/31/2014","722.96","729.58","729.58","729.58"
"01/31/2017","954.63","948.74","948.74","948.74"
"01/31/2018","1,244.21","1,237.32","1,237.32","1,237.32"
"01/31/2019","1,241.35","1,236.11","1,236.11","1,236.11"
"01/31/2020","1,480.97","1,462.74","1,462.74","1,462.74"
