DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
2020-01-01,11.096,0.0,0.0,44.2,52.8,36.2
2020-01-02,8.68,0.184,0.0,47.8,54.4,42.2
2020-01-03,7.07,0.22000000000000003,0.0,49.8,57.0,43.8
2020-01-04,8.546,0.066,0.125,48.2,53.6,37.8
2020-01-05,11.318,0.0,0.0,44.4,56.6,35.6
2020-01-06,8.546,0.006,0.075,46.2,58.8,36.4
2020-01-07,9.172,0.01,0.0,48.6,56.8,39.0
2020-01-08,11.632000000000001,0.0,0.0,43.2,52.2,32.8
2020-01-09,11.724,0.004,0.0,45.6,55.8,39.2
2020-01-10,9.931999999999999,0.4619999999999999,0.0,53.4,60.6,41.2
2020-01-11,15.212,0.344,0.5750000000000001,49.6,54.0,41.8
2020-01-12,9.038,0.006,0.0,47.6,57.6,38.8
2020-01-13,6.888,0.382,0.05,48.0,54.0,42.8
2020-01-14,6.128,0.138,0.0,51.4,57.0,45.4
2020-01-15,7.514,0.0,0.0,52.6,61.0,45.4
2020-01-16,13.331999999999999,0.6,0.0,48.6,52.8,37.8
2020-01-17,11.004,0.144,0.775,41.0,48.6,35.2
2020-01-18,11.318,0.306,0.4,42.8,52.0,30.6
2020-01-19,11.498,0.002,0.0,40.4,50.4,29.4
2020-01-20,9.306000000000001,0.004,0.0,37.4,44.2,30.2
2020-01-21,8.546,0.01,0.0,36.2,43.8,29.0
2020-01-22,8.276,0.092,0.0,38.2,46.2,32.0
2020-01-23,8.278,0.084,0.225,43.0,50.6,37.6
2020-01-24,6.354,0.21200000000000002,0.0,46.2,56.0,38.4
2020-01-25,10.424,0.202,0.1,45.0,52.0,38.8
2020-01-26,8.367999999999999,0.0,0.0,45.8,51.4,39.8
2020-01-27,8.054,0.0,0.0,45.4,53.6,38.6
2020-01-28,10.558,0.10200000000000001,0.0,47.2,54.2,39.8
2020-01-29,10.426,0.008,0.0,45.2,50.0,40.2
2020-01-30,5.95,0.0,0.0,44.0,49.8,37.4
2020-01-31,6.8,0.036,0.15,44.4,52.8,39.4
2020-02-01,6.890000000000001,0.01,0.0,46.8,56.0,39.8
2020-02-02,10.604000000000001,0.002,0.0,49.6,62.0,38.8
2020-02-03,11.675999999999998,0.03,0.0,51.6,63.0,42.4
2020-02-04,11.812000000000001,0.02,0.0,50.6,57.2,41.8
2020-02-05,11.228,0.14400000000000002,0.25,45.6,50.4,40.6
2020-02-06,10.064,0.61,0.35,44.6,51.0,37.4
2020-02-07,10.693999999999999,0.05600000000000001,0.05,43.0,53.2,33.8
2020-02-08,7.8740000000000006,0.024,0.0,42.2,50.8,35.2
2020-02-09,9.888,0.036000000000000004,0.25,45.4,54.0,39.6
2020-02-10,9.486,0.43200000000000005,0.0,46.6,54.6,40.0
2020-02-11,9.978,0.202,0.0,48.8,54.0,42.6
2020-02-12,8.634,0.392,0.5,47.0,53.8,40.6
2020-02-13,10.828,0.25,0.375,45.4,51.2,32.8
2020-02-14,10.022,0.0,0.0,35.8,44.6,25.2
2020-02-15,10.2,0.0,0.0,37.0,49.6,27.8
2020-02-16,6.846000000000001,0.057999999999999996,0.0,45.6,56.0,38.0
2020-02-17,8.052,0.026000000000000002,0.0,49.4,57.6,42.8
2020-02-18,9.978,0.536,0.0,50.4,55.8,42.6
2020-02-19,9.798,0.16799999999999998,0.0,46.8,51.4,39.6
2020-02-20,11.855999999999998,0.22399999999999998,0.0,40.8,48.6,32.8
