Date,Value,Anomaly
200001,59.1,4.2
200002,66.4,7.4
200003,70.5,4.2
200004,75.4,0.7
200005,86.2,4
200006,87.8,-1.4
200007,93.7,1.9
200008,94.7,3.6
200009,88.5,2.8
200010,76.3,-0.1
200011,60.1,-4.7
200012,50.5,-5.8
200101,51.8,-3.1
200102,61.4,2.4
200103,62.4,-3.9
200104,77.4,2.7
200105,83.8,1.6
200106,89.3,0.1
200107,93.2,1.4
200108,91.2,0.1
200109,84.2,-1.5
200110,76.3,-0.1
200111,69.2,4.4
200112,59.7,3.4
200201,58.3,3.4
200202,58.5,-0.5
200203,66.7,0.4
200204,78.1,3.4
200205,83.1,0.9
200206,90,0.8
200207,90.7,-1.1
200208,91.8,0.7
200209,86.2,0.5
200210,73,-3.4
200211,62.7,-2.1
200212,56,-0.3
200301,54.9,0
200302,56.8,-2.2
200303,67.4,1.1
200304,76.4,1.7
200305,84.1,1.9
200306,87,-2.2
200307,91.7,-0.1
200308,91.7,0.6
200309,83.7,-2
200310,77.6,1.2
200311,67.8,3
200312,58.5,2.2
200401,56.5,1.6
200402,55.4,-3.6
200403,70.5,4.2
200404,73.6,-1.1
200405,83.7,1.5
200406,87.7,-1.5
200407,89.9,-1.9
200408,88,-3.1
200409,84.9,-0.8
200410,77.4,1
200411,64.5,-0.3
200412,57.3,1
200501,58.8,3.9
200502,59.4,0.4
200503,65.4,-0.9
200504,74.7,0
200505,81.3,-0.9
200506,89.4,0.2
200507,92.2,0.4
200508,91,-0.1
200509,89.5,3.8
200510,76.6,0.2
200511,69.8,5
200512,57.2,0.9
200601,63.7,8.8
200602,59.8,0.8
200603,69.1,2.8
200604,80.8,6.1
200605,84.9,2.7
200606,91.3,2.1
200607,93.2,1.4
200608,92.3,1.2
200609,83.5,-2.2
200610,75.8,-0.6
200611,67.4,2.6
200612,58.7,2.4
200701,52.5,-2.4
200702,58.2,-0.8
200703,72.2,5.9
200704,72.3,-2.4
200705,81.5,-0.7
200706,88.4,-0.8
200707,88.8,-3
200708,93.2,2.1
200709,86.5,0.8
200710,79.3,2.9
200711,67.6,2.8
200712,59.6,3.3
200801,55,0.1
200802,62.8,3.8
200803,68.7,2.4
200804,75.3,0.6
200805,83,0.8
200806,91.7,2.5
200807,91.3,-0.5
200808,89,-2.1
200809,83.5,-2.2
200810,75.9,-0.5
200811,66.2,1.4
200812,58.9,2.6
200901,58,3.1
200902,64.5,5.5
200903,68.9,2.6
200904,74.8,0.1
200905,81.9,-0.3
200906,90.9,1.7
200907,92,0.2
200908,91.1,0
200909,83.2,-2.5
200910,72.6,-3.8
200911,67.7,2.9
200912,52.3,-4
201001,52.3,-2.6
201002,51,-8
201003,64.3,-2
201004,76.2,1.5
201005,83.6,1.4
201006,92.4,3.2
201007,91,-0.8
201008,93.8,2.7
201009,88.3,2.6
201010,79.4,3
201011,67.4,2.6
201012,56.5,0.2
201101,54,-0.9
201102,59.9,0.9
201103,71,4.7
201104,80.2,5.5
201105,83.4,1.2
201106,95.1,5.9
201107,95.8,4
201108,96.8,5.7
201109,86.9,1.2
201110,76.9,0.5
201111,66.9,2.1
201112,55.4,-0.9
201201,61.2,6.3
201202,60.7,1.7
201203,74.2,7.9
201204,79.2,4.5
201205,85.5,3.3
201206,91.6,2.4
201207,93.4,1.6
201208,92.1,1
201209,86.2,0.5
201210,75.7,-0.7
201211,68.4,3.6
201212,60.9,4.6
201301,57.3,2.4
201302,59.9,0.9
201303,65.6,-0.7
201304,74.1,-0.6
201305,81.4,-0.8
201306,90.7,1.5
201307,89.4,-2.4
201308,90.8,-0.3
201309,87.1,1.4
201310,75.9,-0.5
201311,62.5,-2.3
201312,55.6,-0.7
201401,54.4,-0.5
201402,58.4,-0.6
201403,65.5,-0.8
201404,75.4,0.7
201405,82.3,0.1
201406,89.1,-0.1
201407,89.8,-2
201408,91,-0.1
201409,84.9,-0.8
201410,79.1,2.7
201411,61.4,-3.4
201412,58,1.7
201501,53.7,-1.2
201502,56.1,-2.9
201503,66.8,0.5
201504,75.9,1.2
201505,80.7,-1.5
201506,89.2,0
201507,92,0.2
201508,91.9,0.8
201509,87.8,2.1
201510,77.8,1.4
201511,67.1,2.3
201512,62.9,6.6
201601,54.7,-0.2
201602,63.8,4.8
201603,71.4,5.1
201604,75.7,1
201605,80.8,-1.4
201606,90.5,1.3
201607,94.5,2.7
201608,90.2,-0.9
201609,87.5,1.8
201610,81.8,5.4
201611,70.2,5.4
201612,58.6,2.3
201701,60,5.1
201702,68.1,9.1
201703,72.3,6
201704,77.7,3
201705,82.1,-0.1
201706,88.8,-0.4
201707,92.3,0.5
201708,88.4,-2.7
201709,85.7,0
201710,77.8,1.4
201711,69.8,5
201712,57.8,1.5
201801,54.4,-0.5
201802,63.6,4.6
201803,69.5,3.2
201804,74,-0.7
201805,87.4,5.2
201806,92.4,3.2
201807,93.1,1.3
201808,91.2,0.1
201809,85.9,0.2
201810,74.6,-1.8
201811,61.6,-3.2
201812,57,0.7
201901,55.8,0.9
201902,61.3,2.3
201903,65.2,-1.1
201904,75.5,0.8
201905,82.1,-0.1
201906,88.6,-0.6
201907,92.1,0.3
201908,93.5,2.4
201909,91,5.3
201910,76.3,-0.1
201911,63.5,-1.3
201912,60.6,4.3
202001,59.2,4.3
202002,59.5,0.5
202003,71.2,4.9
202004,75.1,0.4
202005,83.2,1
202006,89.9,0.7
202007,93.3,1.5
202008,92.9,1.8
202009,83.9,-1.8
202010,77.4,1
202011,70.6,5.8
202012,58.4,2.1
202101,56,1.1
202102,54.6,-4.4
202103,69.9,3.6
202104,73.8,-0.9
202105,80.7,-1.5
202106,88.9,-0.3
202107,89.5,-2.3
202108,90.5,-0.6
202109,87.5,1.8
202110,79.2,2.8
202111,67.2,2.4
202112,67.7,11.4
202201,56.7,1.8
