Date,Value,Anomaly
200001,13.3,3.9
200002,21.2,8.2
200003,28.7,6.1
200004,33.8,0
200005,47,2.8
200006,53,-0.6
200007,59.4,0.7
200008,59.4,2.7
200009,48,0
200010,39.7,2.9
200011,21.6,-2.7
200012,6.3,-7.6
200101,13.9,4.5
200102,11.9,-1.1
200103,23.1,0.5
200104,37.4,3.6
200105,46.7,2.5
200106,54.2,0.6
200107,61.2,2.5
200108,59,2.3
200109,48.6,0.6
200110,36.6,-0.2
200111,31.4,7.1
200112,19.3,5.4
200201,16.3,6.9
200202,17.9,4.9
200203,18.2,-4.4
200204,35,1.2
200205,41.3,-2.9
200206,56.8,3.2
200207,62,3.3
200208,57.8,1.1
200209,50.6,2.6
200210,34.1,-2.7
200211,24.8,0.5
200212,18.4,4.5
200301,12.3,2.9
200302,11.1,-1.9
200303,23.5,0.9
200304,35.8,2
200305,44.5,0.3
200306,52.2,-1.4
200307,59.9,1.2
200308,59.9,3.2
200309,46.8,-1.2
200310,38,1.2
200311,24.7,0.4
200312,19.4,5.5
200401,9.7,0.3
200402,14.8,1.8
200403,28.9,6.3
200404,35.3,1.5
200405,45.5,1.3
200406,52.1,-1.5
200407,57.6,-1.1
200408,53.2,-3.5
200409,50.4,2.4
200410,39.4,2.6
200411,28.9,4.6
200412,17.1,3.2
200501,13.3,3.9
200502,20.1,7.1
200503,23.4,0.8
200504,36.5,2.7
200505,43.3,-0.9
200506,56.4,2.8
200507,60,1.3
200508,57.8,1.1
200509,51.5,3.5
200510,38.8,2
200511,27.7,3.4
200512,14.9,1
200601,23,13.6
200602,13.8,0.8
200603,25.2,2.6
200604,38.2,4.4
200605,45.9,1.7
200606,55,1.4
200607,61.6,2.9
200608,58.8,2.1
200609,46.3,-1.7
200610,35.1,-1.7
200611,26.7,2.4
200612,19.8,5.9
200701,12.7,3.3
200702,10.7,-2.3
200703,30.2,7.6
200704,33.4,-0.4
200705,47.7,3.5
200706,55.4,1.8
200707,60.1,1.4
200708,60.2,3.5
200709,50.1,2.1
200710,41,4.2
200711,25.7,1.4
200712,13.6,-0.3
200801,9.8,0.4
200802,12,-1
200803,22,-0.6
200804,32.2,-1.6
200805,42.1,-2.1
200806,53.8,0.2
200807,59.1,0.4
200808,56.7,0
200809,48.8,0.8
200810,37.1,0.3
200811,27.3,3
200812,9.7,-4.2
200901,8.2,-1.2
200902,16.4,3.4
200903,23.5,0.9
200904,33.8,0
200905,44.6,0.4
200906,53.9,0.3
200907,55.8,-2.9
200908,55.3,-1.4
200909,50.1,2.1
200910,34.3,-2.5
200911,30.2,5.9
200912,11.6,-2.3
201001,11.2,1.8
201002,12,-1
201003,27.8,5.2
201004,38,4.2
201005,44.9,0.7
201006,56.5,2.9
201007,60.9,2.2
201008,59.8,3.1
201009,48.6,0.6
201010,38.6,1.8
201011,25.3,1
201012,13.9,0
201101,9,-0.4
201102,12.2,-0.8
201103,23.9,1.3
201104,34.9,1.1
201105,43.9,-0.3
201106,54.8,1.2
201107,63.3,4.6
201108,58.9,2.2
201109,47.3,-0.7
201110,38.5,1.7
201111,27,2.7
201112,18.8,4.9
201201,16.8,7.4
201202,19,6
201203,35,12.4
201204,37.6,3.8
201205,47.4,3.2
201206,55.8,2.2
201207,63.4,4.7
201208,56.2,-0.5
201209,47.1,-0.9
201210,35.8,-1
201211,26.1,1.8
201212,17.8,3.9
201301,12.6,3.2
201302,14.9,1.9
201303,20.1,-2.5
201304,30.1,-3.7
201305,45.1,0.9
201306,54.9,1.3
201307,59.1,0.4
201308,58.3,1.6
201309,52,4
201310,37,0.2
201311,23.8,-0.5
201312,9.6,-4.3
201401,7.2,-2.2
201402,7.5,-5.5
201403,19.1,-3.5
201404,33.2,-0.6
201405,45.2,1
201406,55.2,1.6
201407,56.8,-1.9
201408,58.2,1.5
201409,49,1
201410,38.9,2.1
201411,19.9,-4.4
201412,20,6.1
201501,13.9,4.5
201502,9.1,-3.9
201503,25.2,2.6
201504,35.7,1.9
201505,45.4,1.2
201506,56.3,2.7
201507,59.4,0.7
201508,56.7,0
201509,53.4,5.4
201510,40.5,3.7
201511,29,4.7
201512,22.7,8.8
201601,14.1,4.7
201602,21,8
201603,29.5,6.9
201604,35.8,2
201605,44.5,0.3
201606,56.8,3.2
201607,60.4,1.7
201608,58.8,2.1
201609,52.1,4.1
201610,41.5,4.7
201611,31.9,7.6
201612,13.5,-0.4
201701,15.5,6.1
201702,22.5,9.5
201703,27.5,4.9
201704,37.2,3.4
201705,44.2,0
201706,54.8,1.2
201707,60.5,1.8
201708,55.2,-1.5
201709,50.5,2.5
201710,38.7,1.9
201711,26.6,2.3
201712,15,1.1
201801,11.4,2
201802,11.6,-1.4
201803,24.4,1.8
201804,28.2,-5.6
201805,50.4,6.2
201806,57.7,4.1
201807,60,1.3
201808,58,1.3
201809,52,4
201810,36.3,-0.5
201811,22.3,-2
201812,18.9,5
201901,12.2,2.8
201902,9,-4
201903,20.5,-2.1
201904,35.5,1.7
201905,43.1,-1.1
201906,53.8,0.2
201907,60.7,2
201908,57.6,0.9
201909,53.9,5.9
201910,33.9,-2.9
201911,23.1,-1.2
201912,18.7,4.8
202001,16.9,7.5
202002,15.3,2.3
202003,28.5,5.9
202004,31.5,-2.3
202005,44.5,0.3
202006,56.5,2.9
202007,61.1,2.4
202008,58.2,1.5
202009,47.9,-0.1
202010,33.9,-2.9
202011,28.5,4.2
202012,18.4,4.5
202101,18,8.6
202102,7.6,-5.4
202103,28.4,5.8
202104,33.7,-0.1
202105,44.2,0
202106,57.4,3.8
202107,60.7,2
202108,59.1,2.4
202109,51.4,3.4
202110,42.1,5.3
202111,27.8,3.5
202112,20.2,6.3
202201,8.4,-1
