Date,Value,Anomaly
200001,18.2,-0.9
200002,24.1,4.1
200003,33.2,4.7
200004,38.7,0.8
200005,49.9,2.2
200006,58.2,1.7
200007,59.4,-1.7
200008,59.7,0.3
200009,52.5,-0.3
200010,41.6,0
200011,32.1,0
200012,16.9,-5.9
200101,19.4,0.3
200102,24.2,4.2
200103,27.3,-1.2
200104,39.3,1.4
200105,48.6,0.9
200106,58,1.5
200107,59.2,-1.9
200108,62.1,2.7
200109,51.5,-1.3
200110,40.9,-0.7
200111,35.9,3.8
200112,30.1,7.3
200201,25.5,6.4
200202,24.2,4.2
200203,30.1,1.6
200204,41.6,3.7
200205,45.7,-2
200206,57.6,1.1
200207,62.8,1.7
200208,61.4,2
200209,55.8,3
200210,44.3,2.7
200211,32.7,0.6
200212,23.1,0.3
200301,15.5,-3.6
200302,19.2,-0.8
200303,29.6,1.1
200304,38.1,0.2
200305,48.9,1.2
200306,56.4,-0.1
200307,61.9,0.8
200308,63.2,3.8
200309,54.1,1.3
200310,41.1,-0.5
200311,36.7,4.6
200312,23.9,1.1
200401,15.1,-4
200402,20.4,0.4
200403,31.9,3.4
200404,39.6,1.7
200405,52.7,5
200406,57,0.5
200407,62,0.9
200408,59.9,0.5
200409,55.1,2.3
200410,44.2,2.6
200411,35.6,3.5
200412,23.2,0.4
200501,20.6,1.5
200502,23.3,3.3
200503,26.5,-2
200504,38.9,1
200505,44.6,-3.1
200506,59.8,3.3
200507,64.1,3
200508,63.2,3.8
200509,55.8,3
200510,45.8,4.2
200511,34.1,2
200512,22.1,-0.7
200601,28,8.9
200602,22.9,2.9
200603,29.7,1.2
200604,40.5,2.6
200605,47.6,-0.1
200606,57.8,1.3
200607,63.6,2.5
200608,61.5,2.1
200609,52.9,0.1
200610,41.2,-0.4
200611,36.5,4.4
200612,29.5,6.7
200701,24.7,5.6
200702,15.7,-4.3
200703,29.9,1.4
200704,37.5,-0.4
200705,47.9,0.2
200706,57.4,0.9
200707,59.8,-1.3
200708,62.2,2.8
200709,54.2,1.4
200710,48.4,6.8
200711,32.1,0
200712,26.5,3.7
200801,22,2.9
200802,23,3
200803,28.3,-0.2
200804,40.6,2.7
200805,45.4,-2.3
200806,59.4,2.9
200807,61.7,0.6
200808,58.8,-0.6
200809,54.8,2
200810,40.2,-1.4
200811,32.1,0
200812,25.1,2.3
200901,15.5,-3.6
200902,21.9,1.9
200903,29.7,1.2
200904,39.5,1.6
200905,49.5,1.8
200906,57.7,1.2
200907,59.3,-1.8
200908,62.2,2.8
200909,53.3,0.5
200910,41.9,0.3
200911,37.1,5
200912,23.8,1
201001,20.2,1.1
201002,22,2
201003,32.9,4.4
201004,41.2,3.3
201005,51.5,3.8
201006,60.8,4.3
201007,64,2.9
201008,62.6,3.2
201009,54.8,2
201010,42.9,1.3
201011,32.5,0.4
201012,20.4,-2.4
201101,17.7,-1.4
201102,21.8,1.8
201103,29.9,1.4
201104,41.5,3.6
201105,51.4,3.7
201106,58.9,2.4
201107,64.1,3
201108,61.4,2
201109,56.7,3.9
201110,43.2,1.6
201111,35.9,3.8
201112,28.8,6
201201,23.8,4.7
201202,26.8,6.8
201203,38.3,9.8
201204,39.3,1.4
201205,53.4,5.7
201206,56.4,-0.1
201207,64.4,3.3
201208,61.2,1.8
201209,53.1,0.3
201210,44.5,2.9
201211,30.2,-1.9
201212,30.1,7.3
201301,23.3,4.2
201302,22.8,2.8
201303,27.9,-0.6
201304,39,1.1
201305,48.9,1.2
201306,58.9,2.4
201307,64.4,3.3
201308,59.7,0.3
201309,52.5,-0.3
201310,44.6,3
201311,30.5,-1.6
201312,25.1,2.3
201401,14,-5.1
201402,19,-1
201403,22.5,-6
201404,38.3,0.4
201405,49.8,2.1
201406,58.6,2.1
201407,60.9,-0.2
201408,59.4,0
201409,54.5,1.7
201410,45.1,3.5
201411,29.9,-2.2
201412,29.3,6.5
201501,17,-2.1
201502,10,-10
201503,26,-2.5
201504,39.5,1.6
201505,51.8,4.1
201506,59.2,2.7
201507,62.2,1.1
201508,60.5,1.1
201509,57,4.2
201510,42.5,0.9
201511,37.5,5.4
201512,36.9,14.1
201601,20.3,1.2
201602,24.3,4.3
201603,34.8,6.3
201604,37.4,-0.5
201605,49.1,1.4
201606,57.9,1.4
201607,63.8,2.7
201608,64.3,4.9
201609,57.2,4.4
201610,45.6,4
201611,34.3,2.2
201612,25.7,2.9
201701,27.5,8.4
201702,28.4,8.4
201703,28.2,-0.3
201704,44.4,6.5
201705,49.6,1.9
201706,57.6,1.1
201707,62.8,1.7
201708,59.6,0.2
201709,55.1,2.3
201710,47,5.4
201711,32.2,0.1
201712,22.7,-0.1
201801,16.6,-2.5
201802,29.1,9.1
201803,28.4,-0.1
201804,35.5,-2.4
201805,53.7,6
201806,58.8,2.3
201807,62.9,1.8
201808,64,4.6
201809,60.2,7.4
201810,45.3,3.7
201811,31.9,-0.2
201812,27.2,4.4
201901,20.6,1.5
201902,25,5
201903,27.5,-1
201904,41.4,3.5
201905,51.8,4.1
201906,57.4,0.9
201907,64,2.9
201908,60.9,1.5
201909,55.9,3.1
201910,46.2,4.6
201911,29.6,-2.5
201912,27.1,4.3
202001,27,7.9
202002,26.7,6.7
202003,35.4,6.9
202004,37.5,-0.4
202005,47.3,-0.4
202006,58,1.5
202007,65.3,4.2
202008,62.6,3.2
202009,53.8,1
202010,45.1,3.5
202011,36.6,4.5
202012,26.6,3.8
202101,24.7,5.6
202102,22.1,2.1
202103,31.4,2.9
202104,39.5,1.6
202105,47.3,-0.4
202106,59.4,2.9
202107,62.4,1.3
202108,64.3,4.9
202109,55.5,2.7
202110,49.7,8.1
202111,31.3,-0.8
202112,30.8,8
202201,16.1,-3
