Date,Value,Anomaly
200001,34.2,2.7
200002,38.7,4.2
200003,44.7,3.8
200004,48.4,-0.4
200005,60.6,3.5
200006,65.5,0.8
200007,68.5,0.5
200008,68.3,1.1
200009,61.4,0
200010,52,1.6
200011,38.6,-1.1
200012,28.6,-4.4
200101,29.8,-1.7
200102,38.1,3.6
200103,40.3,-0.6
200104,52,3.2
200105,58,0.9
200106,65.1,0.4
200107,70,2
200108,68.4,1.2
200109,60.6,-0.8
200110,48.5,-1.9
200111,44.5,4.8
200112,35.9,2.9
200201,33.5,2
200202,32.3,-2.2
200203,39.4,-1.5
200204,53.6,4.8
200205,57.4,0.3
200206,65.9,1.2
200207,68.9,0.9
200208,68.2,1
200209,63.4,2
200210,54,3.6
200211,39,-0.7
200212,33.8,0.8
200301,30.2,-1.3
200302,35.1,0.6
200303,43,2.1
200304,49.5,0.7
200305,59.8,2.7
200306,64.2,-0.5
200307,68.8,0.8
200308,68.8,1.6
200309,60.6,-0.8
200310,52.1,1.7
200311,44.2,4.5
200312,32.2,-0.8
200401,33.4,1.9
200402,33.8,-0.7
200403,46.3,5.4
200404,48.9,0.1
200405,59.4,2.3
200406,65.5,0.8
200407,67.5,-0.5
200408,65.3,-1.9
200409,61.6,0.2
200410,55.9,5.5
200411,44.6,4.9
200412,32.6,-0.4
200501,37.2,5.7
200502,39.8,5.3
200503,40.9,0
200504,47.6,-1.2
200505,56.3,-0.8
200506,65.4,0.7
200507,68.9,0.9
200508,68.6,1.4
200509,64.1,2.7
200510,51.3,0.9
200511,41.8,2.1
200512,31,-2
200601,36,4.5
200602,33.5,-1
200603,43.7,2.8
200604,53.2,4.4
200605,58.5,1.4
200606,64.9,0.2
200607,69.2,1.2
200608,69.7,2.5
200609,59.2,-2.2
200610,50.2,-0.2
200611,40.7,1
200612,35.1,2.1
200701,32.7,1.2
200702,33.3,-1.2
200703,46.1,5.2
200704,46.6,-2.2
200705,57.9,0.8
200706,64.9,0.2
200707,67.6,-0.4
200708,69.8,2.6
200709,63.7,2.3
200710,53,2.6
200711,41.3,1.6
200712,35.6,2.6
200801,31,-0.5
200802,35.5,1
200803,41,0.1
200804,48,-0.8
200805,57.4,0.3
200806,66.6,1.9
200807,68.1,0.1
200808,67.6,0.4
200809,60.7,-0.7
200810,49.2,-1.2
200811,39.1,-0.6
200812,34,1
200901,31.2,-0.3
200902,36.3,1.8
200903,43.4,2.5
200904,48.1,-0.7
200905,59.2,2.1
200906,66.5,1.8
200907,68.3,0.3
200908,67.4,0.2
200909,62.3,0.9
200910,50.5,0.1
200911,41.8,2.1
200912,31.7,-1.3
201001,29.4,-2.1
201002,31.1,-3.4
201003,39,-1.9
201004,49.8,1
201005,59.1,2
201006,68.8,4.1
201007,70.3,2.3
201008,70.2,3
201009,63.2,1.8
201010,49.4,-1
201011,40.1,0.4
201012,31.4,-1.6
201101,29.2,-2.3
201102,33.5,-1
201103,44,3.1
201104,51.5,2.7
201105,56.5,-0.6
201106,67.9,3.2
201107,71.6,3.6
201108,71.1,3.9
201109,60.4,-1
201110,48.8,-1.6
201111,41.9,2.2
201112,35,2
201201,35,3.5
201202,38.6,4.1
201203,48.7,7.8
201204,52.6,3.8
201205,60.2,3.1
201206,65.9,1.2
201207,70.1,2.1
201208,68.2,1
201209,61.8,0.4
201210,50.2,-0.2
201211,39.8,0.1
201212,36.3,3.3
201301,34.9,3.4
201302,35.4,0.9
201303,38.5,-2.4
201304,47.4,-1.4
201305,56.5,-0.6
201306,67,2.3
201307,68,0
201308,68.3,1.1
201309,63.6,2.2
201310,51.5,1.1
201311,39.6,-0.1
201312,33.2,0.2
201401,27.1,-4.4
201402,34.2,-0.3
201403,38.3,-2.6
201404,48.7,-0.1
201405,56.7,-0.4
201406,66.9,2.2
201407,67.5,-0.5
201408,67.8,0.6
201409,63.9,2.5
201410,52.8,2.4
201411,36.5,-3.2
201412,38.2,5.2
201501,31.7,0.2
201502,32.1,-2.4
201503,43.7,2.8
201504,52.7,3.9
201505,58.3,1.2
201506,66.9,2.2
201507,70.1,2.1
201508,67.8,0.6
201509,64,2.6
201510,53.7,3.3
201511,45.2,5.5
201512,39.9,6.9
201601,31.8,0.3
201602,37,2.5
201603,45.6,4.7
201604,50.6,1.8
201605,57.1,0
201606,67.1,2.4
201607,70.8,2.8
201608,69.2,2
201609,64.3,2.9
201610,54.5,4.1
201611,44.8,5.1
201612,36.8,3.8
201701,37.7,6.2
201702,42.1,7.6
201703,46.2,5.3
201704,51.9,3.1
201705,56.5,-0.6
201706,66.1,1.4
201707,69.7,1.7
201708,68,0.8
201709,62.1,0.7
201710,51.8,1.4
201711,44.2,4.5
201712,34.6,1.6
201801,28.4,-3.1
201802,40.2,5.7
201803,43.5,2.6
201804,45.8,-3
201805,61.9,4.8
201806,68.6,3.9
201807,70,2
201808,68.6,1.4
201809,65.7,4.3
201810,54.2,3.8
201811,38.5,-1.2
201812,36.3,3.3
201901,33.9,2.4
201902,39.4,4.9
201903,41.6,0.7
201904,49.7,0.9
201905,59.4,2.3
201906,65.3,0.6
201907,69.1,1.1
201908,70.2,3
201909,66.8,5.4
201910,51.4,1
201911,38.1,-1.6
201912,36.9,3.9
202001,36.9,5.4
202002,36.9,2.4
202003,49.4,8.5
202004,49.1,0.3
202005,57.8,0.7
202006,66,1.3
202007,70.9,2.9
202008,68.9,1.7
202009,61.7,0.3
202010,51.3,0.9
202011,44.8,5.1
202012,32.4,-0.6
202101,34,2.5
202102,31.8,-2.7
202103,44.2,3.3
202104,48.2,-0.6
202105,57.6,0.5
202106,66.9,2.2
202107,69,1
202108,69.2,2
202109,62.8,1.4
202110,54.2,3.8
202111,40.2,0.5
202112,43,10
202201,29.9,-1.6
