Central NWS Region, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.07,-0.18
200002,1.60,0.42
200003,1.89,0.02
200004,1.99,-0.51
200005,3.22,-0.04
200006,4.11,0.63
200007,3.18,0.16
200008,2.31,-0.51
200009,2.11,-0.47
200010,1.91,-0.04
200011,2.09,0.47
200012,1.23,-0.09
200101,1.08,-0.17
200102,1.88,0.70
200103,1.01,-0.86
200104,2.95,0.45
200105,3.87,0.61
200106,3.29,-0.19
200107,3.47,0.45
200108,2.43,-0.39
200109,2.58,0.00
200110,2.44,0.49
200111,1.71,0.09
200112,1.18,-0.14
200201,1.00,-0.25
200202,0.88,-0.30
200203,1.85,-0.02
200204,2.62,0.12
200205,3.43,0.17
200206,2.86,-0.62
200207,2.52,-0.50
200208,3.29,0.47
200209,2.17,-0.41
200210,2.69,0.74
200211,0.75,-0.87
200212,0.99,-0.33
200301,0.57,-0.68
200302,1.35,0.17
200303,1.69,-0.18
200304,2.63,0.13
200305,3.73,0.47
200306,3.60,0.12
200307,2.48,-0.54
200308,2.17,-0.65
200309,2.86,0.28
200310,1.23,-0.72
200311,2.18,0.56
200312,1.37,0.05
200401,1.21,-0.04
200402,1.00,-0.18
200403,2.42,0.55
200404,2.06,-0.44
200405,4.47,1.21
200406,3.12,-0.36
200407,3.72,0.70
200408,2.83,0.01
200409,2.52,-0.06
200410,2.71,0.76
200411,2.17,0.55
200412,1.10,-0.22
200501,2.18,0.93
200502,1.21,0.03
200503,1.30,-0.57
200504,2.28,-0.22
200505,2.88,-0.38
200506,4.10,0.62
200507,2.48,-0.54
200508,3.22,0.40
200509,2.40,-0.18
200510,1.81,-0.14
200511,1.97,0.35
200512,1.05,-0.27
200601,1.32,0.07
200602,0.66,-0.52
200603,2.26,0.39
200604,2.50,0.00
200605,2.52,-0.74
200606,2.30,-1.18
200607,2.56,-0.46
200608,3.55,0.73
200609,3.09,0.51
200610,2.28,0.33
200611,1.40,-0.22
200612,1.98,0.66
200701,1.33,0.08
200702,1.27,0.09
200703,2.28,0.41
200704,2.75,0.25
200705,3.64,0.38
200706,3.17,-0.31
200707,2.39,-0.63
200708,3.72,0.90
200709,2.22,-0.36
200710,3.16,1.21
200711,0.70,-0.92
200712,2.35,1.03
200801,1.19,-0.06
200802,1.79,0.61
200803,2.11,0.24
200804,3.08,0.58
200805,3.95,0.69
200806,4.49,1.01
200807,3.39,0.37
200808,2.13,-0.69
200809,3.40,0.82
200810,2.68,0.73
200811,1.37,-0.25
200812,2.12,0.80
200901,0.94,-0.31
200902,1.24,0.06
200903,2.20,0.33
200904,3.28,0.78
200905,2.92,-0.34
200906,4.08,0.60
200907,3.23,0.21
200908,3.35,0.53
200909,2.00,-0.58
200910,4.73,2.78
200911,0.89,-0.73
200912,1.87,0.55
201001,1.03,-0.22
201002,0.97,-0.21
201003,1.66,-0.21
201004,2.56,0.06
201005,3.92,0.66
201006,5.14,1.66
201007,4.31,1.29
201008,2.84,0.02
201009,3.54,0.96
201010,1.32,-0.63
201011,1.74,0.12
201012,1.32,0.00
201101,1.01,-0.24
201102,1.59,0.41
201103,1.83,-0.04
201104,4.04,1.54
201105,4.50,1.24
201106,3.74,0.26
201107,3.13,0.11
201108,2.55,-0.27
201109,1.97,-0.61
201110,1.67,-0.28
201111,2.25,0.63
201112,1.67,0.35
201201,1.01,-0.24
201202,1.43,0.25
201203,1.66,-0.21
201204,2.55,0.05
201205,2.68,-0.58
201206,2.04,-1.44
201207,2.12,-0.90
201208,1.96,-0.86
201209,1.91,-0.67
201210,2.14,0.19
201211,0.82,-0.80
201212,1.48,0.16
201301,1.64,0.39
201302,1.44,0.26
201303,1.65,-0.22
201304,3.63,1.13
201305,4.51,1.25
201306,3.54,0.06
201307,2.80,-0.22
201308,2.51,-0.31
201309,2.59,0.01
201310,3.17,1.22
201311,1.46,-0.16
201312,1.51,0.19
201401,0.97,-0.28
201402,1.29,0.11
201403,1.17,-0.70
201404,3.16,0.66
201405,2.80,-0.46
201406,5.44,1.96
201407,2.38,-0.64
201408,4.01,1.19
201409,2.75,0.17
201410,2.41,0.46
201411,1.27,-0.35
201412,1.37,0.05
201501,0.75,-0.50
201502,1.01,-0.17
201503,1.21,-0.66
201504,2.55,0.05
201505,5.34,2.08
201506,4.50,1.02
201507,4.05,1.03
201508,2.90,0.08
201509,2.18,-0.40
201510,1.83,-0.12
201511,2.89,1.27
201512,3.06,1.74
201601,0.79,-0.46
201602,1.09,-0.09
201603,2.13,0.26
201604,3.34,0.84
201605,3.45,0.19
201606,2.63,-0.85
201607,4.32,1.30
201608,4.07,1.25
201609,3.30,0.72
201610,1.77,-0.18
201611,1.33,-0.29
201612,1.67,0.35
201701,1.75,0.50
201702,1.01,-0.17
201703,2.11,0.24
201704,3.81,1.31
201705,3.81,0.55
201706,2.94,-0.54
201707,2.87,-0.15
201708,3.31,0.49
201709,2.28,-0.30
201710,2.95,1.00
201711,1.02,-0.60
201712,0.80,-0.52
201801,0.97,-0.28
201802,2.13,0.95
201803,1.86,-0.01
201804,1.82,-0.68
201805,3.46,0.20
201806,4.34,0.86
201807,3.17,0.15
201808,3.44,0.62
201809,3.39,0.81
201810,3.31,1.36
201811,1.72,0.10
201812,1.88,0.56
201901,1.51,0.26
201902,2.26,1.08
201903,2.31,0.44
201904,2.72,0.22
201905,5.82,2.56
201906,3.76,0.28
201907,3.46,0.44
201908,3.57,0.75
201909,3.63,1.05
201910,3.20,1.25
201911,1.59,-0.03
201912,1.75,0.43
202001,1.74,0.49
202002,1.24,0.06
202003,2.36,0.49
202004,1.91,-0.59
202005,3.34,0.08
202006,3.09,-0.39
202007,3.98,0.96
202008,2.20,-0.62
202009,1.88,-0.70
202010,1.92,-0.03
202011,1.44,-0.18
202012,1.04,-0.28
202101,1.24,-0.01
202102,1.01,-0.17
202103,2.66,0.79
202104,1.93,-0.57
202105,3.16,-0.10
202106,2.91,-0.57
202107,3.07,0.05
202108,3.11,0.29
202109,2.20,-0.38
202110,3.38,1.43
202111,0.81,-0.81
202112,1.59,0.27
202201,0.92,-0.33
