Eastern NWS Region, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.51,0.18
200002,2.67,-0.32
200003,3.41,-0.27
200004,4.67,1.18
200005,4.00,0.23
200006,4.75,0.66
200007,4.66,0.20
200008,4.13,-0.07
200009,4.55,0.85
200010,1.47,-1.72
200011,2.61,-0.57
200012,2.94,-0.39
200101,1.91,-1.42
200102,2.25,-0.74
200103,4.60,0.92
200104,1.85,-1.64
200105,3.65,-0.12
200106,4.55,0.46
200107,4.16,-0.30
200108,3.28,-0.92
200109,3.34,-0.36
200110,1.88,-1.31
200111,1.69,-1.49
200112,2.35,-0.98
200201,2.89,-0.44
200202,1.80,-1.19
200203,4.08,0.40
200204,3.69,0.20
200205,4.33,0.56
200206,4.04,-0.05
200207,3.23,-1.23
200208,3.05,-1.15
200209,4.35,0.65
200210,4.66,1.47
200211,4.16,0.98
200212,3.83,0.50
200301,2.12,-1.21
200302,4.05,1.06
200303,3.90,0.22
200304,3.78,0.29
200305,5.80,2.03
200306,5.28,1.19
200307,5.76,1.30
200308,5.14,0.94
200309,5.89,2.19
200310,4.34,1.15
200311,3.92,0.74
200312,4.31,0.98
200401,2.22,-1.11
200402,2.46,-0.53
200403,2.36,-1.32
200404,3.97,0.48
200405,4.84,1.07
200406,4.29,0.20
200407,5.44,0.98
200408,5.86,1.66
200409,6.41,2.71
200410,2.31,-0.88
200411,3.75,0.57
200412,3.40,0.07
200501,3.86,0.53
200502,2.40,-0.59
200503,3.72,0.04
200504,4.23,0.74
200505,3.19,-0.58
200506,3.56,-0.53
200507,4.86,0.40
200508,4.06,-0.14
200509,2.35,-1.35
200510,6.97,3.78
200511,4.24,1.06
200512,3.41,0.08
200601,3.80,0.47
200602,1.97,-1.02
200603,1.46,-2.22
200604,3.35,-0.14
200605,3.87,0.10
200606,7.19,3.10
200607,4.68,0.22
200608,3.95,-0.25
200609,5.01,1.31
200610,5.60,2.41
200611,4.47,1.29
200612,2.83,-0.50
200701,3.61,0.28
200702,2.26,-0.73
200703,3.64,-0.04
200704,4.48,0.99
200705,2.04,-1.73
200706,3.49,-0.60
200707,3.89,-0.57
200708,3.60,-0.60
200709,2.29,-1.41
200710,4.21,1.02
200711,3.00,-0.18
200712,4.55,1.22
200801,2.22,-1.11
200802,4.70,1.71
200803,4.60,0.92
200804,3.82,0.33
200805,3.42,-0.35
200806,4.28,0.19
200807,4.83,0.37
200808,4.15,-0.05
200809,4.35,0.65
200810,2.90,-0.29
200811,3.25,0.07
200812,4.84,1.51
200901,2.78,-0.55
200902,1.66,-1.33
200903,3.29,-0.39
200904,3.33,-0.16
200905,5.14,1.37
200906,4.98,0.89
200907,5.04,0.58
200908,4.50,0.30
200909,3.01,-0.69
200910,4.36,1.17
200911,3.74,0.56
200912,5.33,2.00
201001,3.39,0.06
201002,3.08,0.09
201003,4.32,0.64
201004,2.04,-1.45
201005,3.81,0.04
201006,4.36,0.27
201007,3.88,-0.58
201008,3.90,-0.30
201009,4.34,0.64
201010,4.33,1.14
201011,2.87,-0.31
201012,3.28,-0.05
