Southern NWS Region, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.91,-0.77
200002,1.35,-1.32
200003,3.33,0.22
200004,2.78,-0.34
200005,2.70,-0.93
200006,4.73,1.21
200007,2.08,-1.64
200008,1.64,-1.79
200009,2.56,-0.77
200010,2.82,0.17
200011,5.22,2.72
200012,2.34,-0.49
200101,2.81,0.13
200102,3.00,0.33
200103,4.51,1.40
200104,1.50,-1.62
200105,3.28,-0.35
200106,4.27,0.75
200107,2.89,-0.83
200108,3.88,0.45
200109,3.93,0.60
200110,2.49,-0.16
200111,3.20,0.70
200112,2.95,0.12
200201,2.60,-0.08
200202,1.69,-0.98
200203,3.74,0.63
200204,2.17,-0.95
200205,2.70,-0.93
200206,3.19,-0.33
200207,4.49,0.77
200208,3.01,-0.42
200209,4.45,1.12
200210,5.27,2.62
200211,2.59,0.09
200212,4.39,1.56
200301,0.91,-1.77
200302,4.00,1.33
200303,2.58,-0.53
200304,2.32,-0.80
200305,3.58,-0.05
200306,5.49,1.97
200307,3.74,0.02
200308,3.64,0.21
200309,3.58,0.25
200310,2.24,-0.41
200311,2.75,0.25
200312,1.72,-1.11
200401,2.47,-0.21
200402,3.96,1.29
200403,2.37,-0.74
200404,3.67,0.55
200405,3.15,-0.48
200406,6.40,2.88
200407,3.66,-0.06
200408,3.78,0.35
200409,3.89,0.56
200410,4.05,1.40
200411,5.76,3.26
200412,2.25,-0.58
200501,2.61,-0.07
200502,3.15,0.48
200503,2.97,-0.14
200504,2.84,-0.28
200505,2.61,-1.02
200506,3.30,-0.22
200507,4.30,0.58
200508,4.47,1.04
200509,2.48,-0.85
200510,1.74,-0.91
200511,1.66,-0.84
200512,1.63,-1.20
200601,2.40,-0.28
200602,2.33,-0.34
200603,2.22,-0.89
200604,2.33,-0.79
200605,2.54,-1.09
200606,2.39,-1.13
200607,3.15,-0.57
200608,3.74,0.31
200609,3.40,0.07
200610,4.01,1.36
200611,2.00,-0.50
200612,3.39,0.56
200701,3.63,0.95
200702,1.38,-1.29
200703,2.68,-0.43
200704,2.51,-0.61
200705,3.63,0.00
200706,4.52,1.00
200707,5.24,1.52
200708,2.76,-0.67
200709,3.24,-0.09
200710,2.59,-0.06
200711,1.53,-0.97
200712,2.76,-0.07
200801,1.97,-0.71
200802,2.87,0.20
200803,3.33,0.22
200804,3.13,0.01
200805,3.13,-0.50
200806,2.77,-0.75
200807,3.45,-0.27
200808,5.89,2.46
200809,3.28,-0.05
200810,2.57,-0.08
200811,1.72,-0.78
200812,2.76,-0.07
200901,1.59,-1.09
200902,1.47,-1.20
200903,3.73,0.62
200904,3.59,0.47
200905,4.87,1.24
200906,2.38,-1.14
200907,4.47,0.75
200908,3.09,-0.34
200909,5.09,1.76
200910,6.22,3.57
200911,1.68,-0.82
200912,4.61,1.78
201001,3.31,0.63
201002,2.92,0.25
201003,2.70,-0.41
201004,2.37,-0.75
201005,3.68,0.05
201006,3.05,-0.47
201007,4.59,0.87
201008,3.14,-0.29
201009,3.06,-0.27
201010,1.22,-1.43
201011,2.32,-0.18
201012,1.25,-1.58
201101,2.14,-0.54
201102,1.79,-0.88
201103,2.57,-0.54
201104,2.95,-0.17
201105,2.23,-1.40
201106,2.05,-1.47
201107,2.72,-1.00
201108,2.09,-1.34
201109,3.27,-0.06
201110,2.19,-0.46
201111,2.82,0.32
201112,3.55,0.72
201201,2.55,-0.13
201202,2.75,0.08
201203,3.79,0.68
201204,1.94,-1.18
201205,2.74,-0.89
201206,3.05,-0.47
201207,3.71,-0.01
201208,4.12,0.69
201209,3.88,0.55
201210,1.66,-0.99
201211,0.80,-1.70
201212,2.79,-0.04
201301,3.73,1.05
201302,3.50,0.83
201303,1.85,-1.26
201304,3.46,0.34
201305,3.46,-0.17
201306,3.74,0.22
201307,5.19,1.47
201308,3.33,-0.10
201309,4.03,0.70
201310,2.47,-0.18
201311,2.62,0.12
201312,3.04,0.21
201401,1.35,-1.33
201402,2.33,-0.34
201403,2.71,-0.40
201404,3.47,0.35
201405,3.93,0.30
201406,4.09,0.57
201407,3.80,0.08
201408,2.84,-0.59
201409,3.60,0.27
201410,2.78,0.13
201411,2.73,0.23
201412,2.62,-0.21
201501,2.91,0.23
201502,2.23,-0.44
201503,3.57,0.46
201504,4.54,1.42
201505,6.88,3.25
201506,3.86,0.34
201507,3.89,0.17
201508,3.08,-0.35
201509,2.21,-1.12
