Central NWS Region, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,23.8,4.1
200002,32.3,8.4
200003,40.5,6.7
200004,47.1,1.1
200005,59.7,2.9
200006,65.5,-0.7
200007,71.7,0.0
200008,72.2,2.6
200009,61.8,0.8
200010,51.8,2.4
200011,30.7,-4.1
200012,15.9,-7.7
200101,23.7,4.0
200102,21.9,-2.0
200103,33.3,-0.5
200104,49.6,3.6
200105,58.9,2.1
200106,66.5,0.3
200107,73.5,1.8
200108,72.0,2.4
200109,61.5,0.5
200110,49.1,-0.3
200111,43.2,8.4
200112,29.1,5.5
200201,26.8,7.1
200202,29.6,5.7
200203,29.7,-4.1
200204,47.4,1.4
200205,54.3,-2.5
200206,69.7,3.5
200207,75.0,3.3
200208,70.3,0.7
200209,63.5,2.5
200210,44.3,-5.1
200211,35.0,0.2
200212,28.4,4.8
200301,22.5,2.8
200302,21.7,-2.2
200303,35.3,1.5
200304,48.4,2.4
200305,56.6,-0.2
200306,64.2,-2.0
200307,73.2,1.5
200308,73.0,3.4
200309,60.0,-1.0
200310,51.6,2.2
200311,34.4,-0.4
200312,28.6,5.0
200401,19.8,0.1
200402,25.1,1.2
200403,40.1,6.3
200404,48.3,2.3
200405,57.8,1.0
200406,64.1,-2.1
200407,69.5,-2.2
200408,65.6,-4.0
200409,63.4,2.4
200410,50.5,1.1
200411,38.7,3.9
200412,27.4,3.8
200501,22.5,2.8
200502,30.5,6.6
200503,35.1,1.3
200504,49.2,3.2
200505,55.7,-1.1
200506,68.4,2.2
200507,73.2,1.5
200508,70.4,0.8
200509,64.9,3.9
200510,51.1,1.7
200511,38.9,4.1
200512,23.6,0.0
200601,32.7,13.0
200602,25.3,1.4
200603,35.9,2.1
200604,51.8,5.8
200605,58.6,1.8
200606,68.4,2.2
200607,74.8,3.1
200608,71.0,1.4
200609,58.4,-2.6
200610,46.6,-2.8
200611,37.8,3.0
200612,29.8,6.2
200701,22.4,2.7
200702,20.2,-3.7
200703,41.8,8.0
200704,45.3,-0.7
200705,60.3,3.5
200706,68.0,1.8
200707,72.9,1.2
200708,72.5,2.9
200709,63.4,2.4
200710,52.9,3.5
200711,37.3,2.5
200712,22.7,-0.9
200801,20.3,0.6
