Eastern NWS Region, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,28.1,-0.5
200002,34.9,4.7
200003,44.9,5.8
200004,49.5,0.0
200005,61.8,2.0
200006,69.0,1.0
200007,69.7,-2.5
200008,69.8,-0.6
200009,63.0,-1.0
200010,54.0,1.0
200011,41.4,-0.5
200012,26.0,-5.8
200101,29.0,0.4
200102,34.3,4.1
200103,36.9,-2.2
200104,51.6,2.1
200105,61.1,1.3
200106,69.0,1.0
200107,70.1,-2.1
200108,73.1,2.7
200109,63.0,-1.0
200110,53.4,0.4
200111,47.9,6.0
200112,39.4,7.6
200201,34.8,6.2
200202,35.5,5.3
200203,41.1,2.0
200204,53.1,3.6
200205,57.8,-2.0
200206,69.2,1.2
200207,74.0,1.8
200208,73.2,2.8
200209,67.1,3.1
200210,53.0,0.0
200211,41.2,-0.7
200212,31.6,-0.2
200301,24.2,-4.4
200302,28.1,-2.1
200303,41.1,2.0
200304,49.5,0.0
200305,58.9,-0.9
200306,66.8,-1.2
200307,72.0,-0.2
200308,72.8,2.4
200309,64.2,0.2
200310,51.9,-1.1
200311,47.0,5.1
200312,33.0,1.2
200401,24.2,-4.4
200402,30.6,0.4
200403,42.5,3.4
200404,50.9,1.4
200405,64.3,4.5
200406,67.5,-0.5
200407,71.7,-0.5
200408,69.7,-0.7
200409,65.4,1.4
200410,54.1,1.1
200411,45.1,3.2
200412,33.0,1.2
200501,29.9,1.3
200502,33.3,3.1
200503,36.6,-2.5
200504,51.4,1.9
200505,56.3,-3.5
200506,70.7,2.7
200507,74.4,2.2
200508,73.6,3.2
200509,67.6,3.6
200510,55.0,2.0
200511,45.2,3.3
200512,30.5,-1.3
200601,37.5,8.9
200602,32.4,2.2
200603,40.3,1.2
200604,53.4,3.9
200605,59.4,-0.4
200606,68.3,0.3
200607,74.1,1.9
200608,72.2,1.8
200609,62.6,-1.4
200610,51.6,-1.4
200611,46.1,4.2
200612,39.5,7.7
200701,33.7,5.1
200702,25.3,-4.9
200703,41.8,2.7
200704,48.3,-1.2
