Southern NWS Region, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,46.7,3.5
200002,52.5,5.7
200003,57.6,4.0
200004,61.9,0.1
200005,73.4,3.8
200006,76.7,-0.3
200007,81.1,1.2
200008,81.5,2.4
200009,74.9,1.4
200010,64.2,0.8
200011,49.3,-3.0
200012,39.6,-5.1
200101,40.8,-2.4
200102,49.8,3.0
200103,51.3,-2.3
200104,64.7,2.9
200105,70.9,1.3
200106,77.2,0.2
200107,81.6,1.7
200108,79.8,0.7
200109,72.4,-1.1
200110,62.4,-1.0
200111,56.8,4.5
200112,47.8,3.1
200201,45.9,2.7
200202,45.4,-1.4
200203,53.1,-0.5
200204,65.9,4.1
200205,70.2,0.6
200206,78.0,1.0
200207,79.8,-0.1
200208,80.0,0.9
200209,74.8,1.3
200210,63.5,0.1
200211,50.9,-1.4
200212,44.9,0.2
200301,42.6,-0.6
200302,46.0,-0.8
200303,55.2,1.6
200304,63.0,1.2
200305,71.9,2.3
200306,75.6,-1.4
200307,80.3,0.4
200308,80.3,1.2
200309,72.1,-1.4
200310,64.8,1.4
200311,56.0,3.7
200312,45.3,0.6
200401,45.0,1.8
200402,44.6,-2.2
200403,58.4,4.8
200404,61.3,-0.5
200405,71.6,2.0
200406,76.6,-0.4
200407,78.7,-1.2
200408,76.6,-2.5
200409,73.2,-0.3
200410,66.7,3.3
200411,54.5,2.2
200412,45.0,0.3
200501,48.0,4.8
200502,49.6,2.8
200503,53.1,-0.5
200504,61.2,-0.6
200505,68.8,-0.8
200506,77.4,0.4
200507,80.5,0.6
200508,79.8,0.7
200509,76.8,3.3
200510,63.9,0.5
200511,55.8,3.5
200512,44.1,-0.6
200601,49.9,6.7
200602,46.6,-0.2
200603,56.4,2.8
200604,67.0,5.2
200605,71.7,2.1
200606,78.1,1.1
200607,81.2,1.3
200608,81.0,1.9
200609,71.4,-2.1
200610,63.0,-0.4
200611,54.1,1.8
200612,46.9,2.2
200701,42.6,-0.6
200702,45.8,-1.0
200703,59.1,5.5
200704,59.5,-2.3
200705,69.7,0.1
200706,76.6,-0.4
200707,78.2,-1.7
200708,81.5,2.4
200709,75.1,1.6
200710,66.1,2.7
200711,54.5,2.2
200712,47.6,2.9
200801,43.0,-0.2
200802,49.2,2.4
200803,54.8,1.2
200804,61.7,-0.1
200805,70.2,0.6
200806,79.2,2.2
200807,79.7,-0.2
200808,78.3,-0.8
200809,72.1,-1.4
200810,62.5,-0.9
200811,52.6,0.3
200812,46.4,1.7
200901,44.6,1.4
200902,50.4,3.6
200903,56.1,2.5
200904,61.4,-0.4
200905,70.5,0.9
200906,78.7,1.7
200907,80.2,0.3
200908,79.3,0.2
200909,72.7,-0.8
200910,61.5,-1.9
200911,54.8,2.5
200912,42.0,-2.7
201001,40.9,-2.3
201002,41.1,-5.7
201003,51.6,-2.0
201004,63.0,1.2
201005,71.4,1.8
201006,80.6,3.6
201007,80.7,0.8
201008,82.0,2.9
201009,75.7,2.2
201010,64.4,1.0
201011,53.7,1.4
