"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-01","5.59","0.00","61","67","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-02","4.70","0.00","58","65","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-03","4.47","0.00","60","72","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-04","4.92","0.00","59","67","49"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-05","4.47","0.00","58","68","49"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-06","5.59","0.00","61","79","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-07","7.83","0.00","66","79","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-08","5.82","0.00","58","64","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-09","7.61","0.00","57","61","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-10","4.92","0.00","57","66","46"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-11","5.14","0.00","56","63","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-12","5.59","0.00","56","63","49"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-13","5.59","0.00","56","62","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-14","5.14","0.00","55","62","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-15","5.14","0.00","55","64","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-16","5.82","0.26","56","61","49"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-17","4.92","0.07","55","62","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-18","6.26","0.00","58","71","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-19","5.82","0.00","62","77","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-20","5.37","0.02","61","62","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-21","8.28","0.03","60","62","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-22","4.25","0.00","57","64","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-23","5.14","0.00","59","69","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-24","4.47","0.00","61","72","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-25","5.14","0.00","58","65","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-26","4.70","0.00","58","62","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-27","6.93","0.00","58","70","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-28","6.93","0.00","64","72","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-29","11.41","0.00","67","78","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-30","5.59","0.00","66","73","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-31","4.47","0.00","63","81","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-01","4.70","0.00","67","81","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-02","6.71","0.00","62","67","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-03","15.21","0.00","57","63","50"
