"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-01","17.67","0.00","0.0","40","42","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-02","9.62","0.00","0.0","38","48","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-03","6.49","0.13","0.0","44","48","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-04","8.28","0.16","0.0","47","51","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-05","21.47","0.00","0.0","41","49","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-06","13.87","0.03","0.3","38","45","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-07","8.50","0.03","0.0","40","44","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-08","20.80","0.00","0.0","37","43","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-09","11.18","0.00","0.0","29","34","24"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-10","7.83","0.00","0.0","39","51","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-11","17.90","0.00","0.0","50","57","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-12","19.91","0.03","0.0","58","68","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-13","6.93","0.00","0.0","44","48","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-14","5.14","0.03","0.0","42","46","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-15","9.40","0.00","0.0","46","52","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-16","21.92","0.03","0.0","45","50","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-17","21.47","0.00","0.0","30","34","22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-18","10.51","0.58","1.6","25","39","20"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-19","16.33","0.00","0.0","40","46","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-20","18.12","0.00","0.0","28","33","20"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-21","8.95","0.00","0.0","26","34","19"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-22","3.80","0.00","0.0","30","38","22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-23","6.49","0.00","0.0","35","44","26"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-24","5.82","0.00","0.0","41","53","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-25","16.78","0.89","0.0","42","50","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-26","13.42","0.00","0.0","42","48","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-27","14.32","0.00","0.0","40","45","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-28","17.90","0.00","0.0","41","45","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-29","14.32","0.00","0.0","37","41","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-30","6.71","0.00","0.0","31","37","24"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-01-31","6.04","0.02","0.0","36","45","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-01","3.80","0.04","0.0","39","43","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-02","10.07","0.01","0.0","39","44","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-03","10.29","0.00","0.0","42","55","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-04","4.92","0.03","0.0","45","53","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-05","9.84","0.00","0.0","44","51","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-06","8.05","0.70","0.0","40","43","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-07","19.69","0.28","0.0","42","54","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-08","14.09","0.00","0.0","35","43","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-09","10.74","0.00","0.0","37","47","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-10","13.20","0.38","0.0","43","47","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-11","8.28","0.33","0.0","45","49","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-12","14.54","0.12","0.0","43","45","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-13","8.28","0.31","0.0","40","44","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-14","17.45","0.00","0.0","36","40","19"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-15","11.18","0.00","0.0","21","30","14"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-16","9.40","0.00","0.0","35","45","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-17","5.59","0.00","0.0","41","51","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-18","10.51","0.00","0.0","42","49","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-19","14.99","0.00","0.0","45","51","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-20","13.87","0.00","0.0","34","37","26"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-21","12.97","0.00","0.0","28","36","20"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-22","13.20","0.00","0.0","37","50","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-23","11.63","0.00","0.0","42","54","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-24","6.49","0.00","0.0","43","54","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-25","5.14","0.19","0.0","45","49","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-26","10.74","0.02","0.0","46","48","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-27","27.51","1.00","0.0","43","48","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-28","21.92","0.00","0.0","34","42","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-02-29","18.12","0.00","0.0","33","37","26"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-01","14.32","0.00","0.0","32","44","25"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-02","16.11","0.00","0.0","42","51","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-03","10.51","0.28","0.0","48","53","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-04","19.91","0.00","0.0","50","57","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-05","12.97","0.00","0.0","46","50","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-06","10.96","0.07","0.0","41","47","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-07","19.91","0.00","0.0","40","48","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-08","12.75","0.00","0.0","43","57","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-09","11.41","0.00","0.0","50","64","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-10","11.18","0.00","0.0","52","64","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-11","8.50","0.00","0.0","51","57","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-12","10.07","0.05","0.0","44","47","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-13","18.12","0.30","0.0","53","71","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-14","16.11","0.00","0.0","51","57","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-15","10.74","0.00","0.0","47","54","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-16","13.20","0.00","0.0","39","45","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-17","9.40","0.18","0.0","44","54","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-18","10.07","0.01","0.0","47","50","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-19","8.72","1.07","0.0","46","53","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-20","8.28","0.00","0.0","50","73","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-21","15.21","0.00","0.0","54","67","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-22","14.09","0.00","0.0","40","44","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-23","18.79","1.28","0.0","39","46","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-24","11.63","0.00","0.0","43","54","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-25","14.09","0.00","0.0","44","48","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-26","12.75","0.00","0.0","44","55","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-27","8.72","0.00","0.0","53","68","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-28","11.41","0.37","0.0","49","50","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-29","11.41","0.09","0.0","48","51","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-30","6.49","0.04","0.0","45","49","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-31","8.05","0.02","0.0","43","45","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-01","14.09","0.00","0.0","44","56","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-02","23.26","0.00","0.0","49","60","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-03","21.03","0.01","0.0","49","52","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-04","11.41","0.00","0.0","50","58","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-05","5.82","0.00","0.0","48","58","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-06","8.72","0.06","0.0","53","63","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-07","10.51","0.00","0.0","54","63","48"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-08","9.62","0.18","0.0","55","64","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-09","14.99","0.13","0.0","50","58","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-10","23.71","0.00","0.0","45","49","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-11","16.11","0.00","0.0","46","55","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-12","12.75","0.00","0.0","49","58","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-13","23.26","1.14","0.0","54","66","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-14","14.54","0.00","0.0","54","57","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-15","13.87","0.00","0.0","48","54","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-16","19.69","0.00","0.0","46","50","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-17","11.18","0.04","0.0","42","50","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-18","10.96","0.09","0.0","44","47","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-19","15.21","0.00","0.0","47","59","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-20","10.29","0.00","0.0","52","55","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-21","18.34","0.36","0.0","49","56","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-22","18.79","0.00","0.0","44","52","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-23","6.49","0.13","0.0","44","48","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-24","11.41","0.60","0.0","46","50","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-25","6.71","0.00","0.0","50","61","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-26","12.75","0.17","0.0","49","51","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-27","16.78","0.00","0.0","44","50","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-28","10.29","0.00","0.0","49","64","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-29","14.76","0.01","0.0","48","55","42"
