"","AAL.Open","AAL.High","AAL.Low","AAL.Close","AAL.Volume","AAL.Adjusted"
"2013-01-02",13.72,14.01,13.6,13.98,6662000,13.179526
"2013-01-03",14.02,14.13,13.6,13.66,5398400,12.877851
"2013-01-04",13.8,14.87,13.76,14.73,12048300,13.886582
"2013-01-07",14.79,14.98,14.53,14.84,5730600,13.990283
"2013-01-08",14.89,15.25,14.78,15.16,8034400,14.29196
"2013-01-09",15.12,15.5,15.04,15.13,8493100,14.263679
"2013-01-10",15.2,15.28,14.84,15.14,5248800,14.273107
"2013-01-11",15.1,15.31,14.72,14.78,4829400,13.933718
"2013-01-14",14.81,14.81,14.41,14.67,5978000,13.830018
"2013-01-15",14.24,14.53,14.11,14.31,7384900,13.49063
"2013-01-16",14.39,14.7,14.22,14.63,4263600,13.792307
"2013-01-17",14.83,14.87,14.28,14.48,4675000,13.650898
"2013-01-18",14.52,14.62,14.3,14.44,5297400,13.613189
"2013-01-22",14.47,14.92,14.44,14.85,6520700,13.99971
"2013-01-23",15.32,15.64,15.02,15.07,15854900,14.207114
"2013-01-24",15.04,15.39,14.44,14.67,7112300,13.830018
"2013-01-25",14.7,15.2,14.49,14.97,8381900,14.112838
"2013-01-28",15,15.31,14.85,15.03,6544500,14.169403
"2013-01-29",14.98,15.04,14.2,14.42,10258600,13.59433
"2013-01-30",14.46,14.51,14.21,14.3,4873200,13.481205
"2013-01-31",14.28,14.55,14.22,14.28,4575800,13.462348
"2013-02-01",14.43,14.57,14.02,14.12,5308600,13.31151
"2013-02-04",14.08,14.42,13.95,13.99,4441000,13.188953
"2013-02-05",14.13,14.26,13.86,14.09,4175900,13.283228
"2013-02-06",14.06,14.58,14.06,14.56,5239800,13.726316
"2013-02-07",14.91,15.4,14.63,15.11,16835700,14.244822
"2013-02-08",15.07,15.12,14.63,14.75,8407500,13.905435
"2013-02-11",14.89,15.01,14.26,14.46,8882000,13.632042
"2013-02-12",14.45,14.51,14.1,14.27,8126000,13.45292
"2013-02-13",14.3,14.94,14.25,14.66,10259500,13.820591
"2013-02-14",14.94,14.96,13.16,13.99,31879900,13.188953
"2013-02-15",13.93,14.61,13.93,14.5,15628000,13.66975
"2013-02-19",14.33,14.56,14.08,14.26,11354400,13.443493
"2013-02-20",14.17,14.26,13.15,13.33,14725200,12.566744
"2013-02-21",13.62,13.95,12.9,13.37,11922100,12.604453
"2013-02-22",13.57,13.6,13.21,13.57,6071400,12.793004
"2013-02-25",13.6,13.76,13,13.02,7186400,12.274493
"2013-02-26",13.14,13.42,12.7,13.26,9419000,12.500752
"2013-02-27",13.28,13.62,13.18,13.41,7390500,12.642161
"2013-02-28",13.49,13.63,13.39,13.43,6143600,12.661018
"2013-03-01",13.37,13.95,13.32,13.61,7376800,12.830711
"2013-03-04",13.5,14.07,13.47,13.9,8174800,13.104106
"2013-03-05",14.01,14.05,13.71,14.05,7676100,13.245515
"2013-03-06",14.52,14.68,14.25,14.57,13243200,13.735743
"2013-03-07",14.7,14.93,14.5,14.82,9125300,13.971428
"2013-03-08",14.99,15.2,14.84,14.92,10593700,14.065701
"2013-03-11",14.85,15.15,14.71,15.13,6961800,14.263679
"2013-03-12",15.14,15.6,14.95,15.5,8999100,14.612491
"2013-03-13",15.54,16.200001,15.48,15.91,11380000,14.999016
"2013-03-14",15.98,16.360001,15.93,16.25,8383300,15.319548
"2013-03-15",16.450001,16.540001,15.88,15.98,17667700,15.065007
"2013-03-18",15.8,16.33,15.71,16.290001,6514100,15.357258
"2013-03-19",16.48,16.85,16.41,16.780001,11805300,15.819203
