"","DAL.Open","DAL.High","DAL.Low","DAL.Close","DAL.Volume","DAL.Adjusted"
"2013-01-02",12.07,12.28,11.97,12.23,10628500,10.863259
"2013-01-03",12.14,12.61,12.12,12.58,16272400,11.174143
"2013-01-04",12.56,13.08,12.55,12.98,17125600,11.529446
"2013-01-07",13.14,13.38,12.89,12.99,23137100,11.538326
"2013-01-08",13.05,13.26,12.87,12.98,16685700,11.529446
"2013-01-09",13,13.16,12.89,13.11,10251700,11.644916
"2013-01-10",13.45,13.65,13.17,13.3,27721200,11.813681
"2013-01-11",13.33,13.41,13.09,13.35,14934900,11.858093
"2013-01-14",13.3,13.49,13.17,13.44,7996300,11.938032
"2013-01-15",13.25,13.74,13.21,13.63,17041000,12.106801
"2013-01-16",13.55,14.11,13.52,13.92,20083000,12.364396
"2013-01-17",13.95,14,13.72,13.83,9910600,12.284452
"2013-01-18",13.85,13.91,13.6,13.61,11337100,12.089039
"2013-01-22",13.64,14.15,13.46,14.01,16829300,12.444337
"2013-01-23",14.05,14.15,13.74,13.78,20839900,12.240042
"2013-01-24",13.83,14.17,13.71,13.93,14578900,12.373279
"2013-01-25",13.94,14.18,13.82,14.17,10746000,12.586458
"2013-01-28",14.16,14.2,13.9,13.94,9593800,12.38216
"2013-01-29",13.89,13.93,13.61,13.68,16123200,12.151214
"2013-01-30",13.72,13.92,13.68,13.84,8168500,12.293336
"2013-01-31",13.77,13.92,13.72,13.89,6967400,12.337745
"2013-02-01",13.97,14.09,13.74,13.82,10069500,12.27557
"2013-02-04",13.64,13.95,13.44,13.86,10041800,12.311101
"2013-02-05",13.83,14.1,13.8,13.93,19010700,12.373279
"2013-02-06",13.91,14.49,13.91,14.47,16494800,12.85293
"2013-02-07",14.49,14.89,14.46,14.86,16685200,13.19935
"2013-02-08",14.77,14.88,14.52,14.62,9197200,12.986169
"2013-02-11",14.66,14.9,14.61,14.69,7583800,13.048343
"2013-02-12",14.64,14.79,14.46,14.5,7146700,12.87958
"2013-02-13",14.57,14.8,14.5,14.78,7230400,13.128287
"2013-02-14",14.6,14.68,14.02,14.24,17917800,12.648632
"2013-02-15",14.37,14.56,14.31,14.45,14248600,12.835168
"2013-02-19",14.4,14.62,14.2,14.3,12245700,12.701926
"2013-02-20",14.29,14.32,13.78,13.82,13822800,12.27557
"2013-02-21",13.96,13.99,13.16,13.56,21229600,12.044625
"2013-02-22",13.56,13.77,13.39,13.75,8462800,12.213392
"2013-02-25",13.84,14.34,13.82,14.02,16933300,12.453219
"2013-02-26",13.94,14,13.6,13.9,11452000,12.346628
"2013-02-27",13.89,14.35,13.85,14.27,7947600,12.675284
"2013-02-28",14.34,14.42,14.23,14.27,7523500,12.675284
"2013-03-01",14.26,15.08,14.26,14.82,16031300,13.163818
"2013-03-04",14.75,15.89,14.61,15.65,25397700,13.90106
"2013-03-05",15.71,15.93,15.67,15.86,12270800,14.087594
"2013-03-06",16,16.07,15.47,15.67,12824800,13.918829
"2013-03-07",15.7,15.93,15.59,15.9,6443600,14.123124
"2013-03-08",16.139999,16.4,15.81,16.24,18025800,14.425127
"2013-03-11",16.049999,16.42,15.77,16.23,11617300,14.416246
"2013-03-12",16.200001,16.299999,15.97,16.030001,9592100,14.238598
"2013-03-13",15.95,16.41,15.95,16.360001,11475800,14.531715
"2013-03-14",16.34,16.48,16.17,16.280001,9249800,14.460659
"2013-03-15",16.15,16.23,15.82,16,15200400,14.211947
