Date,Open,High,Low,Close
12/31/2021,"1,705.23","1,709.76","1,709.76","1,709.76"
12/30/2021,"1,707.81","1,705.24","1,705.24","1,705.24"
12/29/2021,"1,705.38","1,707.68","1,707.68","1,707.68"
12/28/2021,"1,707.20","1,705.45","1,705.45","1,705.45"
12/27/2021,"1,698.22","1,707.67","1,707.67","1,707.67"
12/23/2021,"1,685.99","1,698.32","1,698.32","1,698.32"
12/22/2021,"1,665.43","1,684.74","1,684.74","1,684.74"
12/21/2021,"1,608.30","1,665.74","1,665.74","1,665.74"
12/20/2021,"1,604.57","1,605.41","1,605.41","1,605.41"
12/17/2021,"1,615.93","1,608.50","1,608.50","1,608.50"
12/16/2021,"1,621.98","1,616.17","1,616.17","1,616.17"
12/15/2021,"1,622.92","1,621.65","1,621.65","1,621.65"
12/14/2021,"1,627.97","1,620.15","1,620.15","1,620.15"
12/13/2021,"1,662.41","1,628.67","1,628.67","1,628.67"
12/10/2021,"1,656.28","1,662.92","1,662.92","1,662.92"
12/09/2021,"1,662.69","1,656.12","1,656.12","1,656.12"
12/08/2021,"1,643.27","1,663.56","1,663.56","1,663.56"
12/07/2021,"1,621.08","1,644.50","1,644.50","1,644.50"
12/06/2021,"1,564.33","1,620.43","1,620.43","1,620.43"
12/03/2021,"1,581.92","1,564.04","1,564.04","1,564.04"
12/02/2021,"1,525.33","1,582.13","1,582.13","1,582.13"
12/01/2021,"1,556.97","1,525.00","1,525.00","1,525.00"
11/30/2021,"1,587.98","1,556.74","1,556.74","1,556.74"
11/29/2021,"1,583.64","1,593.21","1,593.21","1,593.21"
11/26/2021,"1,655.08","1,583.62","1,583.62","1,583.62"
11/24/2021,"1,653.98","1,656.60","1,656.60","1,656.60"
11/23/2021,"1,643.47","1,654.51","1,654.51","1,654.51"
11/22/2021,"1,642.02","1,643.37","1,643.37","1,643.37"
11/19/2021,"1,659.79","1,642.84","1,642.84","1,642.84"
11/18/2021,"1,666.77","1,659.68","1,659.68","1,659.68"
11/17/2021,"1,667.43","1,666.65","1,666.65","1,666.65"
11/16/2021,"1,675.60","1,666.90","1,666.90","1,666.90"
11/15/2021,"1,678.04","1,675.68","1,675.68","1,675.68"
11/12/2021,"1,676.82","1,677.02","1,677.02","1,677.02"
11/11/2021,"1,700.50","1,676.56","1,676.56","1,676.56"
11/10/2021,"1,721.09","1,700.24","1,700.24","1,700.24"
11/09/2021,"1,732.03","1,722.63","1,722.63","1,722.63"
11/08/2021,"1,742.64","1,732.29","1,732.29","1,732.29"
11/05/2021,"1,681.19","1,742.38","1,742.38","1,742.38"
11/04/2021,"1,686.21","1,680.43","1,680.43","1,680.43"
11/03/2021,"1,674.44","1,685.03","1,685.03","1,685.03"
11/02/2021,"1,685.82","1,674.76","1,674.76","1,674.76"
11/01/2021,"1,649.66","1,686.81","1,686.81","1,686.81"
10/29/2021,"1,668.13","1,646.76","1,646.76","1,646.76"
10/28/2021,"1,663.48","1,668.36","1,668.36","1,668.36"
10/27/2021,"1,654.38","1,663.40","1,663.40","1,663.40"
10/26/2021,"1,651.93","1,654.31","1,654.31","1,654.31"
10/25/2021,"1,651.96","1,650.83","1,650.83","1,650.83"
10/22/2021,"1,664.24","1,651.85","1,651.85","1,651.85"
10/21/2021,"1,653.27","1,664.44","1,664.44","1,664.44"
10/20/2021,"1,671.43","1,653.19","1,653.19","1,653.19"
10/19/2021,"1,682.10","1,671.37","1,671.37","1,671.37"
10/18/2021,"1,679.12","1,681.46","1,681.46","1,681.46"
10/15/2021,"1,680.75","1,679.09","1,679.09","1,679.09"
10/14/2021,"1,666.74","1,679.63","1,679.63","1,679.63"
10/13/2021,"1,678.59","1,665.86","1,665.86","1,665.86"
10/12/2021,"1,669.29","1,677.59","1,677.59","1,677.59"
10/11/2021,"1,674.81","1,669.02","1,669.02","1,669.02"
10/08/2021,"1,684.95","1,674.27","1,674.27","1,674.27"
10/07/2021,"1,674.12","1,684.90","1,684.90","1,684.90"
10/06/2021,"1,668.70","1,674.22","1,674.22","1,674.22"
10/05/2021,"1,668.37","1,669.64","1,669.64","1,669.64"
10/04/2021,"1,679.99","1,668.17","1,668.17","1,668.17"
10/01/2021,"1,637.60","1,680.04","1,680.04","1,680.04"
09/30/2021,"1,658.29","1,636.97","1,636.97","1,636.97"
09/29/2021,"1,669.96","1,658.37","1,658.37","1,658.37"
09/28/2021,"1,697.27","1,669.75","1,669.75","1,669.75"
09/27/2021,"1,689.85","1,697.44","1,697.44","1,697.44"
09/24/2021,"1,680.15","1,690.13","1,690.13","1,690.13"
09/23/2021,"1,648.45","1,679.91","1,679.91","1,679.91"
09/22/2021,"1,617.84","1,648.23","1,648.23","1,648.23"
09/21/2021,"1,621.97","1,617.40","1,617.40","1,617.40"
09/20/2021,"1,636.59","1,621.45","1,621.45","1,621.45"
09/17/2021,"1,645.46","1,637.66","1,637.66","1,637.66"
09/16/2021,"1,641.88","1,645.50","1,645.50","1,645.50"
09/15/2021,"1,645.06","1,641.79","1,641.79","1,641.79"
09/14/2021,"1,654.48","1,645.52","1,645.52","1,645.52"
09/13/2021,"1,643.38","1,654.48","1,654.48","1,654.48"
09/10/2021,"1,648.65","1,643.18","1,643.18","1,643.18"
09/09/2021,"1,639.56","1,648.10","1,648.10","1,648.10"
09/08/2021,"1,637.38","1,640.42","1,640.42","1,640.42"
09/07/2021,"1,634.78","1,637.31","1,637.31","1,637.31"
09/03/2021,"1,644.31","1,634.59","1,634.59","1,634.58"
09/02/2021,"1,639.16","1,644.47","1,644.47","1,644.47"
09/01/2021,"1,641.03","1,638.66","1,638.66","1,638.66"
08/31/2021,"1,628.61","1,640.58","1,640.58","1,640.58"
08/30/2021,"1,643.62","1,630.67","1,630.67","1,630.67"
08/27/2021,"1,622.88","1,642.37","1,642.37","1,642.37"
08/26/2021,"1,636.94","1,622.84","1,622.84","1,622.84"
08/25/2021,"1,623.21","1,637.79","1,637.79","1,637.79"
08/24/2021,"1,600.16","1,623.15","1,623.15","1,623.15"
08/23/2021,"1,575.66","1,599.85","1,599.85","1,599.85"
08/20/2021,"1,563.82","1,575.27","1,575.27","1,575.27"
08/19/2021,"1,576.01","1,563.83","1,563.83","1,563.83"
08/18/2021,"1,585.58","1,576.65","1,576.65","1,576.65"
08/17/2021,"1,601.04","1,585.51","1,585.51","1,585.51"
08/16/2021,"1,611.02","1,601.40","1,601.40","1,601.40"
08/13/2021,"1,609.96","1,611.26","1,611.26","1,611.26"
08/12/2021,"1,613.30","1,609.47","1,609.47","1,609.47"
08/11/2021,"1,605.57","1,613.22","1,613.22","1,613.22"
08/10/2021,"1,602.99","1,606.08","1,606.08","1,606.08"
08/09/2021,"1,621.53","1,602.95","1,602.95","1,602.95"
08/06/2021,"1,622.04","1,620.86","1,620.86","1,620.86"
08/05/2021,"1,589.42","1,625.76","1,625.76","1,625.76"
08/04/2021,"1,607.43","1,588.75","1,588.75","1,588.75"
08/03/2021,"1,622.88","1,607.40","1,607.40","1,607.40"
08/02/2021,"1,635.19","1,622.99","1,622.99","1,622.99"
07/30/2021,"1,651.76","1,634.81","1,634.81","1,634.81"
07/29/2021,"1,643.86","1,653.17","1,653.17","1,653.17"
07/28/2021,"1,663.00","1,642.24","1,642.24","1,642.24"
07/27/2021,"1,656.86","1,662.79","1,662.79","1,662.79"
07/26/2021,"1,641.86","1,656.81","1,656.81","1,656.81"
07/23/2021,"1,626.95","1,641.88","1,641.88","1,641.88"
07/22/2021,"1,611.78","1,626.80","1,626.80","1,626.80"
07/21/2021,"1,567.04","1,611.60","1,611.60","1,611.60"
07/20/2021,"1,525.02","1,566.20","1,566.20","1,566.20"
07/19/2021,"1,562.57","1,524.72","1,524.72","1,524.72"
07/16/2021,"1,590.67","1,566.40","1,566.40","1,566.40"
07/15/2021,"1,601.96","1,590.45","1,590.45","1,590.45"
07/14/2021,"1,605.26","1,602.16","1,602.16","1,602.16"
07/13/2021,"1,615.90","1,604.75","1,604.75","1,604.75"
07/12/2021,"1,613.43","1,616.10","1,616.10","1,616.10"
07/09/2021,"1,585.75","1,612.84","1,612.84","1,612.84"
07/08/2021,"1,593.59","1,585.08","1,585.08","1,585.08"
07/07/2021,"1,604.91","1,598.33","1,598.33","1,598.33"
07/06/2021,"1,617.27","1,604.52","1,604.52","1,604.52"
07/02/2021,"1,604.54","1,617.15","1,617.15","1,617.15"
07/01/2021,"1,590.53","1,604.27","1,604.27","1,604.27"
06/30/2021,"1,578.84","1,590.23","1,590.23","1,590.23"
06/29/2021,"1,584.63","1,578.92","1,578.92","1,578.92"
06/28/2021,"1,615.53","1,584.55","1,584.55","1,584.55"
06/25/2021,"1,606.70","1,615.93","1,615.93","1,615.93"
06/24/2021,"1,604.15","1,606.88","1,606.88","1,606.88"
06/23/2021,"1,605.48","1,603.74","1,603.74","1,603.74"
06/22/2021,"1,604.63","1,605.47","1,605.47","1,605.47"
06/21/2021,"1,577.13","1,604.45","1,604.45","1,604.45"
06/18/2021,"1,602.37","1,576.58","1,576.58","1,576.58"
