"","H.Open","H.High","H.Low","H.Close","H.Volume","H.Adjusted"
"2013-01-02",38.580002,39.75,38.580002,39.419998,548400,38.630402
"2013-01-03",39.400002,39.669998,39.259998,39.419998,395100,38.630402
"2013-01-04",39.52,39.650002,39.310001,39.439999,736400,38.64999
"2013-01-07",39.369999,39.509998,39.18,39.279999,461400,38.493198
"2013-01-08",39.189999,39.470001,38.689999,38.869999,421600,38.091408
"2013-01-09",39.029999,39.200001,38.830002,39.029999,279700,38.248199
"2013-01-10",39.189999,39.400002,39.060001,39.310001,340600,38.522598
"2013-01-11",39.23,39.380001,39.060001,39.380001,259200,38.591198
"2013-01-14",39.27,39.470001,38.799999,38.810001,176000,38.032623
"2013-01-15",39.23,39.23,38.75,39.099998,570900,38.316811
"2013-01-16",38.990002,39.119999,38.68,38.900002,242500,38.120815
"2013-01-17",39.099998,39.32,38.91,39.099998,285700,38.316811
"2013-01-18",39.110001,39.450001,39.099998,39.209999,324700,38.424599
"2013-01-22",39.049999,39.990002,39.049999,39.919998,404100,39.12038
"2013-01-23",39.84,40.029999,39.639999,39.98,585700,39.179176
"2013-01-24",39.939999,40.23,39.740002,39.93,313500,39.130188
"2013-01-25",40,40.5,39.990002,40.490002,209100,39.678963
"2013-01-28",40.419998,40.68,40,40.48,187400,39.669163
"2013-01-29",40.48,40.48,40.09,40.32,298600,39.512367
"2013-01-30",40.41,40.41,39.990002,40.029999,229400,39.228176
"2013-01-31",40.029999,40.349998,39.860001,40.07,232400,39.267376
"2013-02-01",40.419998,40.599998,40.18,40.23,258700,39.424171
"2013-02-04",40.049999,40.43,39.950001,40.16,327000,39.355572
"2013-02-05",40.299999,40.919998,40.169998,40.790001,345200,39.972958
"2013-02-06",40.830002,41.32,40.77,41.310001,228300,40.482544
"2013-02-07",41.25,41.349998,40.619999,41.209999,260600,40.384533
"2013-02-08",41.259998,41.529999,41,41.360001,172800,40.53154
"2013-02-11",41.549999,41.799999,41.369999,41.59,255900,40.756931
"2013-02-12",41.599998,42.380001,41.540001,42.16,383000,41.315514
"2013-02-13",42.130001,42.150002,40.540001,41.82,686400,40.982323
"2013-02-14",42.25,42.25,40.970001,41.540001,465800,40.707928
"2013-02-15",41.810001,42.580002,41.59,42.34,572400,41.491905
"2013-02-19",42.330002,42.400002,41.689999,41.970001,393300,41.129318
"2013-02-20",41.59,41.950001,40.950001,40.98,315400,40.159149
"2013-02-21",40.959999,41.07,40.360001,40.43,317200,39.620167
"2013-02-22",40.700001,40.700001,40.150002,40.619999,419000,39.806358
"2013-02-25",40.689999,41.07,39.98,40,352500,39.198776
"2013-02-26",40.27,40.43,39.939999,40.169998,195000,39.365368
"2013-02-27",40.299999,41.09,40.099998,40.830002,291400,40.012154
"2013-02-28",40.91,41.209999,40.91,41.09,341100,40.266937
"2013-03-01",40.919998,41.330002,40.639999,41,219700,40.178749
"2013-03-04",40.959999,41.09,40.720001,40.860001,172300,40.041546
"2013-03-05",41.02,41.580002,40.990002,41.34,149400,40.511932
"2013-03-06",41.389999,41.82,41.32,41.450001,153700,40.619728
"2013-03-07",41.41,41.91,41.400002,41.630001,198900,40.796135
"2013-03-08",41.919998,42.41,41.919998,42.389999,278300,41.540905
"2013-03-11",42.34,42.900002,41.990002,42.709999,163700,41.854492
"2013-03-12",42.970001,42.970001,42.43,42.68,236200,41.825096
"2013-03-13",42.799999,42.799999,42.41,42.759998,183700,41.903492
"2013-03-14",42.68,43.360001,42.66,43.310001,169900,42.442478
"2013-03-15",43.139999,43.529999,43.139999,43.439999,218300,42.569866
"2013-03-18",42.950001,43.34,42.889999,43.189999,132000,42.324883
"2013-03-19",43.299999,43.43,42.610001,42.939999,334000,42.079884
"2013-03-20",43.139999,43.470001,42.790001,42.869999,359600,42.011292
"2013-03-21",42.619999,42.860001,42.490002,42.540001,327800,41.687901
"2013-03-22",42.740002,42.77,42.259998,42.450001,192400,41.599705
"2013-03-25",42.5,42.689999,42.110001,42.299999,163600,41.452702
"2013-03-26",42.48,42.630001,42.279999,42.540001,210900,41.687901
"2013-03-27",42.32,43.689999,42.32,43.139999,245400,42.275883
"2013-03-28",43.150002,43.599998,43.150002,43.23,316100,42.364082
"2013-04-01",43.32,43.389999,42.599998,42.939999,168100,42.079884
"2013-04-02",43.09,43.09,42.529999,42.610001,178900,41.7565
"2013-04-03",42.639999,42.720001,41.380001,41.509998,682800,40.678535
"2013-04-04",41.52,42.189999,41.380001,42.07,144000,41.227314
"2013-04-05",41.290001,41.700001,40.919998,41.68,165000,40.845123
"2013-04-08",41.720001,42.400002,41.52,42.27,94200,41.423306
"2013-04-09",42.16,42.950001,41.84,42.52,183400,41.668304
"2013-04-10",42.59,42.919998,42.490002,42.68,249900,41.825096
"2013-04-11",42.740002,43.16,42.68,42.82,190600,41.962292
"2013-04-12",42.740002,42.959999,42.369999,42.630001,201300,41.7761
"2013-04-15",42.34,42.459999,41.18,41.200001,304000,40.374741
"2013-04-16",41.509998,41.709999,41.450001,41.630001,255800,40.796135
"2013-04-17",41.25,41.490002,40.91,41.290001,246400,40.462936
"2013-04-18",41.41,41.41,40.689999,40.82,161100,40.002354
"2013-04-19",40.830002,41.41,40.669998,41.09,180000,40.266937
"2013-04-22",41.330002,41.330002,40.599998,41,342800,40.178749
"2013-04-23",41.02,41.48,40.98,41.419998,331500,40.590336
"2013-04-24",41.540001,41.790001,41.43,41.57,153300,40.737328
"2013-04-25",41.790001,41.919998,41.650002,41.650002,324500,40.815727
"2013-04-26",41.669998,42.189999,41.560001,41.740002,335500,40.903923
"2013-04-29",42,42,41.07,41.099998,613400,40.276745
"2013-04-30",41.41,42.700001,41.41,42.68,321400,41.825096
"2013-05-01",41.779999,41.779999,39.52,40.32,1512000,39.512367
"2013-05-02",40,40.459999,39.880001,40.080002,1481700,39.27718
"2013-05-03",40.5,41.439999,40.400002,41.18,480000,40.355137
"2013-05-06",41.299999,41.5,41.099998,41.32,339300,40.492336
"2013-05-07",41.5,41.82,41.25,41.470001,327300,40.639332
"2013-05-08",41.400002,42.25,41.209999,41.77,424200,40.933319
"2013-05-09",41.630001,41.73,41.040001,41.18,473500,40.355137
"2013-05-10",41.27,41.82,41.169998,41.450001,329400,40.619728
"2013-05-13",41.450001,41.68,41.060001,41.34,549200,40.511932
"2013-05-14",41.439999,41.669998,41.200001,41.369999,166100,40.541336
"2013-05-15",41.380001,41.400002,40.599998,40.779999,274300,39.963154
"2013-05-16",40.740002,40.790001,39.939999,40,431700,39.198776
"2013-05-17",40.16,40.669998,40.139999,40.57,759300,39.757359
"2013-05-20",40.580002,41.560001,40.459999,41.220001,435800,40.394344
"2013-05-21",41.110001,41.75,40.970001,41.610001,288700,40.776524
"2013-05-22",41.549999,41.810001,40.709999,40.91,782700,40.090553
"2013-05-23",40.099998,40.900002,39.799999,40.48,447800,39.669163
"2013-05-24",40.040001,40.970001,40.040001,40.91,372800,40.090553
"2013-05-28",41.349998,42.349998,41.32,41.75,368800,40.913727
"2013-05-29",41.57,41.75,40.869999,40.98,252600,40.159149
"2013-05-30",40.950001,41.75,40.709999,41.48,240000,40.649132
"2013-05-31",41.240002,41.740002,41.119999,41.119999,229500,40.296345
"2013-06-03",41.189999,43,40.790001,40.790001,633800,39.972958
"2013-06-04",40.740002,40.919998,40.049999,40.549999,666100,39.737759
"2013-06-05",40.369999,40.529999,40,40.040001,343000,39.237976
"2013-06-06",40.099998,41.040001,39.990002,41.009998,309500,40.188549
"2013-06-07",41.25,42.43,41,41.790001,319300,40.952923
"2013-06-10",41.779999,42.48,41.669998,41.919998,286200,41.080322
"2013-06-11",41.119999,41.240002,40.48,40.759998,412300,39.943546
"2013-06-12",41.130001,41.310001,40.330002,40.59,194000,39.776962
"2013-06-13",40.52,40.869999,40.16,40.619999,332700,39.806358
"2013-06-14",40.599998,40.970001,40.130001,40.560001,358200,39.747562
"2013-06-17",40.720001,40.849998,39.98,39.990002,401300,39.18898
"2013-06-18",40.099998,40.889999,40.009998,40.669998,491000,39.855362
"2013-06-19",40.709999,40.82,40.240002,40.349998,195000,39.541763
"2013-06-20",39.959999,40.02,38.779999,38.810001,340400,38.032623
"2013-06-21",38.98,39.23,37.740002,39.200001,1046600,38.414803
