"","HLT.Open","HLT.High","HLT.Low","HLT.Close","HLT.Volume","HLT.Adjusted"
"2013-12-12",43.7076,44.979839,43.605,44.118,12935478,42.056625
"2013-12-13",45.123482,45.923759,44.2206,45.349201,1224854,43.230293
"2013-12-16",47.360161,52.839001,44.159039,44.159039,4717690,42.095745
"2013-12-17",44.343719,45.123482,44.282162,44.75412,2313840,42.663021
"2013-12-18",44.795158,45.513359,44.44632,44.795158,2857846,42.702148
"2013-12-19",44.631001,45.985321,44.2206,45.718559,1469103,43.582394
"2013-12-20",46.169998,46.272598,44.85672,45.000359,994834,42.897751
"2013-12-23",45.16452,45.533878,44.241119,44.241119,1220712,42.173985
"2013-12-24",44.3232,44.466839,43.399799,44.138519,1234064,42.07618
"2013-12-26",44.241119,45.06192,44.2206,44.5284,1309211,42.447842
"2013-12-27",44.3232,44.815681,44.2206,44.3232,1090302,42.252232
"2013-12-30",44.569439,45.082439,44.3232,44.918282,871832,42.819515
"2013-12-31",45.144001,46.10844,45.041401,45.657001,1134308,43.523724
"2014-01-02",45.657001,45.862202,44.672039,44.85672,1763791,42.760822
"2014-01-03",44.733601,45.328678,44.631001,45.16452,461257,43.054249
"2014-01-06",45.123482,45.39024,44.65152,45.144001,1172320,43.034687
"2014-01-07",45.144001,45.349201,44.938801,45.144001,1992593,43.034687
"2014-01-08",45.205559,45.205559,44.733601,45.205559,1154240,43.093372
"2014-01-09",45.144001,45.18504,44.54892,44.877239,459600,42.780388
"2014-01-10",44.65152,44.85672,44.261639,44.507881,812329,42.428295
"2014-01-13",44.241119,44.795158,44.241119,44.569439,728216,42.486965
"2014-01-14",44.54892,45.36972,44.405281,45.349201,1251608,43.230293
"2014-01-15",45.246601,45.49284,44.795158,44.95932,915253,42.858631
"2014-01-16",44.938801,45.205559,44.507881,45.06192,1130019,42.956455
"2014-01-17",45.06192,46.293121,44.733601,45.657001,2702290,43.523724
"2014-01-21",46.190521,46.354679,44.815681,44.979839,1280214,42.878185
"2014-01-22",45.123482,46.149479,44.938801,46.087921,1428655,43.934498
"2014-01-23",46.02636,46.498322,45.349201,46.498322,936062,44.325722
"2014-01-24",45.862202,46.12896,45.328678,46.067402,891033,43.914936
"2014-01-27",46.067402,46.067402,44.918282,45.123482,1099610,43.015133
"2014-01-28",44.815681,45.144001,44.631001,44.938801,686209,42.839069
"2014-01-29",44.75412,44.897758,44.241119,44.44632,437865,42.36961
"2014-01-30",44.65152,44.774639,44.3232,44.44632,520273,42.36961
"2014-01-31",44.138519,44.507881,43.78968,44.4258,428606,42.350044
"2014-02-03",44.4258,44.5284,42.76368,42.989399,1115010,40.980747
"2014-02-04",43.091999,43.256161,42.76368,43.153561,835770,41.137241
"2014-02-05",42.784199,43.009918,42.168598,42.681599,694786,40.687332
"2014-02-06",42.76368,43.502399,42.722641,43.502399,294103,41.469791
"2014-02-07",43.625519,44.877239,43.543442,44.4258,513012,42.350044
"2014-02-10",44.466839,44.507881,43.7076,43.933319,562427,41.880566
"2014-02-11",44.589958,44.672039,44.035919,44.507881,642446,42.428295
"2014-02-12",44.610481,45.041401,44.364239,44.918282,436647,42.819515
"2014-02-13",44.692558,45.18504,44.4258,45.041401,551608,42.936882
"2014-02-14",45.144001,45.246601,44.85672,45.144001,647856,43.034687
"2014-02-18",45.144001,45.144001,44.589958,44.65152,616179,42.565216
"2014-02-19",44.65152,45.041401,44.118,44.179562,441033,42.115307
"2014-02-20",44.118,44.466839,43.728119,44.097481,602096,42.037071
"2014-02-21",44.118,45.533878,44.056438,45.451801,1166082,43.328098
"2014-02-24",45.574921,46.169998,45.226082,45.677521,743177,43.543285
"2014-02-25",45.657001,46.33416,45.574921,45.90324,823197,43.758453
"2014-02-26",45.985321,46.53936,45.759602,46.252079,1072027,44.090988
"2014-02-27",45.985321,46.908718,44.733601,46.149479,2187817,43.993179
"2014-02-28",46.169998,46.33416,45.308159,45.882721,970565,43.738884
"2014-03-03",45.59544,46.169998,45.36972,46.149479,676754,43.993179
"2014-03-04",47.011318,47.401199,46.087921,46.293121,2307018,44.130112
"2014-03-05",46.10844,46.97028,46.067402,46.724041,668713,44.540897
"2014-03-06",46.724041,46.908718,45.964802,46.12896,682407,43.973618
"2014-03-07",46.067402,46.84716,45.964802,46.600922,642349,44.423527
"2014-03-10",46.703522,46.888199,45.615959,45.923759,922027,43.778004
"2014-03-11",45.944279,46.087921,45.144001,45.36972,835429,43.249859
"2014-03-12",45.226082,45.964802,44.672039,45.862202,788645,43.719334
"2014-03-13",45.615959,46.02636,45.06192,45.246601,992690,43.132496
"2014-03-14",45.06192,45.677521,44.877239,45.205559,609064,43.093372
"2014-03-17",45.36972,45.944279,45.328678,45.39024,369250,43.269417
"2014-03-18",45.349201,46.354679,45.26712,46.313641,677778,44.14967
"2014-03-19",46.21104,46.23156,45.472321,45.677521,733382,43.543285
"2014-03-20",45.657001,46.00584,45.36972,45.49284,652729,43.367226
"2014-03-21",45.69804,47.17548,45.451801,47.17548,3026754,44.971237
"2014-03-24",47.07288,47.38068,46.087921,46.703522,966033,44.521336
