"","IHG.Open","IHG.High","IHG.Low","IHG.Close","IHG.Volume","IHG.Adjusted"
"2013-01-02",40.943909,40.958229,40.600204,40.872303,123594,26.752996
"2013-01-03",40.485634,40.986874,40.442673,40.772057,104881,26.687386
"2013-01-04",40.528599,41.0728,40.485634,40.986874,103065,26.82799
"2013-01-07",40.399708,40.643166,40.313782,40.628845,51533,26.593639
"2013-01-08",40.614525,40.714771,40.17057,40.385387,44829,26.434284
"2013-01-09",40.084644,40.184895,39.955757,39.984398,134697,26.171822
"2013-01-10",40.399708,40.57156,40.270821,40.442673,132253,26.471783
"2013-01-11",40.886623,41.015514,40.757736,40.872303,125899,26.752996
"2013-01-14",40.356747,40.614525,40.213535,40.55724,181900,26.546778
"2013-01-15",40.700451,40.943909,40.514278,40.815018,270231,26.7155
"2013-01-16",40.700451,40.872303,40.614525,40.815018,65498,26.7155
"2013-01-17",40.772057,40.929588,40.57156,40.857983,51253,26.743626
"2013-01-18",41.301933,41.359219,41.08712,41.316257,83234,27.043591
"2013-01-22",41.301933,41.588356,41.187366,41.531071,61378,27.1842
"2013-01-23",41.430824,41.602676,41.273293,41.387863,59632,27.09046
"2013-01-24",41.387863,41.960705,41.316257,41.659962,109140,27.26856
"2013-01-25",42.333054,42.633793,42.189842,42.590832,165979,27.877861
"2013-01-28",41.889099,42.046631,41.731567,42.017986,120801,27.502907
"2013-01-29",41.91774,42.060951,41.846134,41.975025,75763,27.474787
"2013-01-30",42.089596,42.218483,41.960705,41.989346,534039,27.484159
"2013-01-31",41.803173,42.189842,41.745888,42.046631,100062,27.521662
"2013-02-01",42.905895,42.905895,42.519226,42.590832,101040,27.877861
"2013-02-04",42.648113,42.805649,42.504906,42.676758,123036,27.934107
"2013-02-05",42.877251,42.963177,42.576511,42.748363,73458,27.980976
"2013-02-06",42.619473,42.977497,42.547867,42.963177,138258,28.121586
"2013-02-07",42.905895,42.948856,42.4333,42.905895,145450,28.084093
"2013-02-08",42.83429,43.478737,42.819969,43.435772,87214,28.430916
"2013-02-11",42.691078,42.762684,42.404655,42.605152,326722,27.887241
"2013-02-12",42.719719,43.37849,42.676758,43.177994,94267,28.262194
"2013-02-13",43.421452,43.521702,43.106388,43.135033,49647,28.234072
"2013-02-14",43.220959,43.364166,43.034782,43.149353,56700,28.243448
"2013-02-15",43.478737,44.19479,43.478737,43.879726,114586,28.721514
"2013-02-19",42.891575,43.220959,42.777004,43.063427,166608,28.187202
"2013-02-20",43.049107,43.049107,42.175522,42.175522,156553,27.60602
"2013-02-21",41.960705,41.960705,41.473789,41.745888,173940,27.324804
"2013-02-22",42.318729,42.461941,42.189842,42.333054,171077,27.709133
"2013-02-25",41.559715,41.645641,40.900948,40.943909,131275,26.799873
"2013-02-26",41.445145,41.602676,41.158726,41.445145,137420,27.127953
"2013-02-27",41.430824,41.989346,41.216007,41.889099,72341,27.418537
"2013-02-28",41.559715,41.831814,41.402184,41.631321,126806,27.249817
"2013-03-01",41.645641,42.046631,41.344898,41.989346,66964,27.484159
"2013-03-04",41.903419,42.218483,41.803173,42.189842,80650,27.6154
"2013-03-05",42.605152,42.648113,42.175522,42.204163,96292,27.624765
"2013-03-06",42.347374,42.404655,41.975025,42.132557,93848,27.577898
"2013-03-07",42.175522,42.318729,41.975025,42.103916,37148,27.559155
"2013-03-08",41.874779,42.218483,41.788853,42.189842,71852,27.6154
"2013-03-11",42.017986,42.347374,41.93206,42.275768,119684,27.671646
"2013-03-12",43.464417,43.478737,42.633793,42.633793,89030,27.905981
"2013-03-13",42.576511,42.805649,42.333054,42.648113,327769,27.915361
"2013-03-14",42.877251,43.578983,42.877251,43.478737,75483,28.45904
"2013-03-15",43.536022,43.536022,43.049107,43.092068,54535,28.20595
"2013-03-18",43.163673,43.550343,43.120708,43.192314,129599,28.271563
"2013-03-19",43.37849,43.464417,42.891575,43.177994,408699,28.262194
"2013-03-20",42.877251,42.891575,42.44762,42.490582,23741,28.214647
"2013-03-21",41.731567,42.333054,41.731567,42.075272,123943,27.938869
"2013-03-22",42.175522,42.232803,41.860458,42.017986,135395,27.900833
"2013-03-25",42.676758,42.705399,42.03231,42.232803,101878,28.043472
"2013-03-26",41.874779,42.304409,41.860458,42.304409,81698,28.091024
"2013-03-27",41.975025,42.376015,41.846134,42.347374,66685,28.119547
"2013-03-28",43.435772,43.707874,43.321205,43.564663,183576,28.927858
"2013-04-01",43.822441,44.380962,43.493057,43.593304,82256,28.946871
"2013-04-02",44.266396,44.295036,43.736515,43.836761,94406,29.108538
"2013-04-03",43.894047,43.965652,43.27824,43.27824,84212,28.737669
"2013-04-04",43.177994,43.349846,43.006142,43.349846,54046,28.785212
"2013-04-05",41.745888,42.318729,41.559715,42.318729,89658,28.100527
"2013-04-08",42.118237,42.633793,42.103916,42.619473,134627,28.30023
"2013-04-09",42.060951,42.290089,41.774529,42.247124,274840,28.052982
"2013-04-10",41.631321,42.218483,41.574036,42.218483,205292,28.033966
"2013-04-11",43.020462,43.106388,42.777004,42.777004,96362,28.404837
"2013-04-12",42.891575,43.034782,42.605152,42.819969,118008,28.433361
"2013-04-15",42.562187,42.562187,41.645641,41.645641,163186,27.653585
"2013-04-16",41.774529,42.060951,41.602676,42.03231,75972,27.910339
"2013-04-17",40.471313,40.614525,40.285141,40.57156,196424,26.940371
"2013-04-18",41.10144,41.10144,40.542919,40.815018,89728,27.10203
"2013-04-19",40.385387,40.743416,40.299461,40.58588,86935,26.949883
"2013-04-22",40.643166,40.65749,40.270821,40.58588,95384,26.949883
"2013-04-23",41.301933,41.445145,40.772057,41.015514,73458,27.235165
"2013-04-24",41.173046,41.330578,41.044155,41.230331,322462,27.377815
"2013-04-25",41.745888,42.046631,41.717247,41.93206,61308,27.843777
"2013-04-26",41.846134,41.91774,41.617001,41.803173,43572,27.758188
"2013-04-29",42.175522,42.218483,41.760208,41.831814,106905,27.77721
"2013-04-30",42.046631,42.318729,41.774529,42.318729,99504,28.100527
"2013-05-01",42.633793,42.705399,42.204163,42.347374,346064,28.119547
"2013-05-02",42.361694,42.633793,42.275768,42.390335,243976,28.148081
"2013-05-03",43.879726,43.951332,43.564663,43.750835,98037,29.051474
"2013-05-06",43.822441,43.822441,43.564663,43.664909,48670,28.994423
"2013-05-07",43.67923,43.67923,43.092068,43.507378,68291,28.889816
"2013-05-08",42.017986,42.662437,41.817493,42.562187,241672,28.262194
"2013-05-09",42.075272,42.533546,42.060951,42.290089,121849,28.081511
"2013-05-10",42.533546,42.83429,42.504906,42.83429,52999,28.442871
"2013-05-13",42.805649,42.891575,42.547867,42.719719,36380,28.366798
"2013-05-14",42.83429,43.049107,42.605152,42.977497,112631,28.537962
"2013-05-15",42.719719,42.805649,42.44762,42.590832,62495,28.281206
"2013-05-16",42.547867,42.748363,42.304409,42.347374,59074,28.119547
"2013-05-17",42.290089,42.390335,42.146877,42.275768,52440,28.072006
"2013-05-20",42.404655,42.805649,42.361694,42.762684,214858,28.395325
"2013-05-21",41.93206,42.318729,41.91774,42.204163,135465,28.024454
"2013-05-22",41.745888,42.247124,41.445145,41.531071,128273,27.577507
"2013-05-23",41.316257,41.559715,41.001194,41.430824,57817,27.510942
"2013-05-24",41.344898,41.602676,41.244652,41.50243,149151,27.558487
"2013-05-28",42.046631,42.189842,41.903419,41.903419,396060,27.824755
"2013-05-29",41.430824,41.473789,40.986874,41.029835,225053,27.244678
"2013-05-30",41.373543,41.788853,41.373543,41.645641,93568,27.653585
"2013-05-31",41.702927,41.874779,41.130081,41.130081,107604,27.311239
"2013-06-03",41.473789,41.702927,41.287613,41.574036,135325,27.606031
"2013-06-04",41.559715,41.659962,41.187366,41.301933,117868,27.425354
"2013-06-05",40.929588,40.929588,40.15625,40.15625,92102,26.664595
"2013-06-06",40.528599,40.772057,40.227856,40.772057,174638,27.073513
"2013-06-07",40.843662,41.029835,40.371067,40.614525,137420,26.968903
"2013-06-10",40.700451,40.714771,40.428352,40.456993,76600,26.864296
"2013-06-11",40.127609,40.55724,39.998718,40.485634,121709,26.883314
"2013-06-12",40.829342,40.843662,40.213535,40.342422,107394,26.788219
"2013-06-13",40.17057,40.800697,40.127609,40.743416,43293,27.054485
"2013-06-14",40.972549,41.173046,40.743416,40.857983,45667,27.130562
"2013-06-17",41.187366,41.187366,40.55724,40.757736,62565,27.063993
"2013-06-18",40.542919,40.900948,40.542919,40.815018,43502,27.10203
"2013-06-19",40.67181,40.772057,39.798225,39.841187,89868,26.455387
"2013-06-20",39.626369,39.72662,38.938961,39.110813,230849,25.970407
"2013-06-21",39.354271,39.497482,38.681183,39.153778,204384,25.998936
"2013-06-24",38.323154,38.79575,38.122662,38.523651,81488,25.580515
"2013-06-25",38.895996,39.254025,38.623898,39.153778,90217,25.998936
"2013-06-26",39.082172,39.282665,38.838715,39.153778,108093,25.998936
"2013-06-27",39.139454,39.368591,39.096493,39.196739,155505,26.027466
"2013-06-28",39.397236,39.583408,39.039207,39.339951,165281,26.122561
"2013-07-01",40.342422,40.929588,40.285141,40.714771,148104,27.035469
"2013-07-02",40.786377,41.08712,40.58588,40.700451,89868,27.025959
"2013-07-03",40.15625,40.442673,40.013039,40.342422,40360,26.788219
"2013-07-05",40.857983,41.0728,40.471313,41.029835,84351,27.244678
"2013-07-08",41.51675,41.631321,41.387863,41.50243,68570,27.558487
"2013-07-09",41.688602,41.688602,41.115761,41.445145,60121,27.520451
"2013-07-10",41.216007,41.48811,41.115761,41.430824,458765,27.510942
"2013-07-11",42.44762,42.819969,42.275768,42.748363,66964,28.385815
"2013-07-12",42.390335,42.590832,42.318729,42.590832,84700,28.281206
"2013-07-15",42.547867,42.633793,42.390335,42.476261,45527,28.205132
"2013-07-16",42.275768,42.4333,42.161198,42.376015,59772,28.138569
"2013-07-17",43.020462,43.020462,42.547867,42.691078,52999,28.347778
"2013-07-18",43.149353,43.392811,43.092068,43.306885,71782,28.756693
"2013-07-19",43.435772,43.435772,43.063427,43.206635,58096,28.690117
"2013-07-22",43.26392,43.37849,43.192314,43.235279,77927,28.709139
"2013-07-23",42.605152,42.762684,42.304409,42.41898,70735,28.167097
"2013-07-24",42.4333,42.504906,42.060951,42.189842,74436,28.014942
"2013-07-25",41.889099,42.519226,41.889099,42.519226,107255,28.233664
"2013-07-26",41.029835,41.846134,40.943909,41.846134,77927,27.786715
"2013-07-29",41.831814,41.989346,41.717247,41.903419,28978,27.824755
"2013-07-30",42.03231,42.03231,41.459469,41.602676,69059,27.625057
"2013-07-31",41.373543,41.702927,41.258972,41.402184,52650,27.491926
"2013-08-01",41.273293,41.659962,41.244652,41.659962,156832,27.663088
"2013-08-02",41.344898,41.788853,41.273293,41.50243,248236,27.558487
"2013-08-05",41.803173,41.960705,41.659962,41.946384,116123,27.853287
"2013-08-06",43.750835,44.982449,43.69355,44.380962,303190,29.469893
"2013-08-07",44.237755,44.237755,43.908367,44.108864,110327,29.289213
"2013-08-08",43.879726,44.352322,43.69355,44.20911,132951,29.355778
"2013-08-09",43.464417,43.722195,43.435772,43.564663,115774,28.927858
"2013-08-12",43.407131,43.478737,43.120708,43.306885,56071,28.756693
"2013-08-13",43.450092,43.7938,43.235279,43.750835,65917,29.051474
"2013-08-14",43.951332,44.237755,43.894047,44.151825,68640,29.317745
"2013-08-15",43.249599,43.321205,42.977497,43.177994,100551,28.671097
"2013-08-16",43.092068,43.435772,42.963177,43.421452,89868,28.832764
"2013-08-19",43.77948,43.879726,43.536022,43.578983,66196,28.937361
"2013-08-20",43.77948,44.538494,43.736515,44.509853,167027,29.555481
"2013-08-21",41.774529,41.774529,41.173046,41.244652,121360,28.83462
"2013-08-22",41.359219,41.745888,41.287613,41.688602,97269,29.144991
"2013-08-23",41.745888,41.745888,41.402184,41.602676,50555,29.084919
"2013-08-26",41.717247,41.717247,41.373543,41.373543,38475,28.924726
"2013-08-27",40.643166,40.800697,40.013039,40.070324,85119,28.013632
"2013-08-28",39.139454,39.927113,39.110813,39.769581,105788,27.803381
"2013-08-29",40.471313,40.929588,40.442673,40.643166,64101,28.414106
"2013-08-30",40.15625,40.299461,39.869827,40.227856,165560,28.123766
"2013-09-03",40.929588,41.015514,40.542919,40.757736,67104,28.494207
"2013-09-04",40.285141,41.201687,40.242176,41.130081,40989,28.754517
"2013-09-05",41.688602,41.93206,41.645641,41.745888,90845,29.18504
"2013-09-06",42.103916,42.232803,41.574036,42.017986,105858,29.375267
"2013-09-09",42.175522,42.390335,42.03231,42.347374,92032,29.605539
"2013-09-10",42.819969,43.149353,42.762684,43.149353,43921,30.166214
"2013-09-11",43.192314,43.421452,43.120708,43.335526,85119,30.296373
"2013-09-12",42.963177,43.063427,42.819969,42.877251,50625,29.975986
"2013-09-13",43.006142,43.292564,42.84861,43.27824,34006,30.256327
"2013-09-16",43.507378,43.521702,43.049107,43.192314,38894,30.196257
"2013-09-17",43.177994,43.27824,43.006142,43.106388,51044,30.136177
"2013-09-18",42.232803,42.977497,41.674282,42.977497,47064,30.046066
"2013-09-19",43.206635,43.321205,42.748363,42.748363,83374,29.885878
"2013-09-20",42.347374,42.533546,42.204163,42.347374,98526,29.605539
"2013-09-23",42.290089,42.347374,41.889099,42.261448,74575,29.545465
"2013-09-24",41.975025,42.333054,41.860458,42.146877,89449,29.465372
"2013-09-25",41.903419,42.03231,41.717247,41.817493,58445,29.235094
"2013-09-26",41.688602,42.003666,41.631321,42.003666,168493,29.365252
"2013-09-27",41.659962,41.817493,41.602676,41.760208,49647,29.195047
"2013-09-30",41.416504,41.91774,41.359219,41.831814,48460,29.245111
"2013-10-01",42.175522,42.41898,42.046631,42.41898,115634,29.655603
"2013-10-02",42.103916,42.318729,41.889099,42.318729,85678,29.585514
"2013-10-03",41.946384,41.946384,41.430824,41.545395,215138,29.044872
"2013-10-04",41.459469,41.731567,41.402184,41.702927,156622,29.155005
"2013-10-07",41.201687,41.545395,41.173046,41.359219,84491,28.914709
"2013-10-08",40.815018,40.900948,40.428352,40.485634,123804,28.303978
"2013-10-09",40.972549,41.029835,40.456993,40.800697,72550,28.524244
"2013-10-10",40.628845,41.130081,40.628845,41.08712,100831,28.724487
"2013-10-11",41.144405,41.688602,41.10144,41.631321,77229,29.104939
"2013-10-14",41.702927,41.946384,41.459469,41.889099,109210,29.285151
"2013-10-15",42.175522,42.404655,42.046631,42.132557,226240,29.455366
"2013-10-16",42.633793,42.819969,42.232803,42.333054,79603,29.595533
