"","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume","JNJ.Adjusted"
"2013-01-02",71.019997,71.019997,70.300003,70.839996,12874200,53.958748
"2013-01-03",70.980003,71,70.449997,70.739998,9598300,53.88258
"2013-01-04",71.239998,71.730003,71.010002,71.550003,11631800,54.49958
"2013-01-07",71.5,71.529999,71.190002,71.400002,7548800,54.385319
"2013-01-08",71.309998,71.650002,71.25,71.410004,9825300,54.392944
"2013-01-09",71.639999,71.849998,71.5,71.730003,7672800,54.636665
"2013-01-10",71.809998,72.379997,71.739998,72.190002,11888500,54.987061
"2013-01-11",72.190002,72.580002,72.160004,72.349998,7766700,55.108902
"2013-01-14",72.599998,72.790001,72.370003,72.559998,7386000,55.268871
"2013-01-15",72.25,72.440002,72,72.370003,7795100,55.124165
"2013-01-16",72.260002,72.82,72.25,72.580002,8779900,55.284115
"2013-01-17",72.879997,73.010002,72.370003,72.900002,10570100,55.527851
"2013-01-18",72.900002,73.230003,72.790001,73.230003,13558600,55.779217
"2013-01-22",72.919998,73.209999,72.419998,72.690002,11469800,55.367893
"2013-01-23",72.519997,72.910004,72.470001,72.849998,10155100,55.489773
"2013-01-24",72.959999,73.230003,72.839996,73.099998,9369700,55.680199
"2013-01-25",73.129997,73.93,73.059998,73.919998,10421500,56.304779
"2013-01-28",73.959999,74,73.43,73.620003,9420900,56.076298
"2013-01-29",73.669998,74.620003,73.639999,74.410004,12386500,56.67802
"2013-01-30",74.449997,74.800003,74.010002,74.089996,9245500,56.434258
"2013-01-31",74.080002,74.360001,73.779999,73.919998,10448700,56.304779
"2013-02-01",74.139999,74.419998,74.080002,74.18,10016300,56.502838
"2013-02-04",73.559998,74.25,73.559998,74.110001,9200700,56.449524
"2013-02-05",74.489998,74.82,74.470001,74.660004,10230800,56.868473
"2013-02-06",74.57,75.389999,74.519997,75.389999,12084000,57.4245
"2013-02-07",74.82,75.199997,74.68,75.059998,9798200,57.173126
"2013-02-08",75.169998,75.610001,74.730003,75.480003,8153300,57.493038
"2013-02-11",75.279999,75.5,75.050003,75.410004,5697100,57.439716
"2013-02-12",75.419998,75.860001,75.419998,75.800003,7598900,57.736786
"2013-02-13",75.790001,75.870003,75.370003,75.660004,8014800,57.630157
"2013-02-14",75.5,76.089996,75.379997,75.809998,9681800,57.744392
"2013-02-15",75.720001,76.160004,75.510002,76.160004,10528400,58.01099
"2013-02-19",76.029999,77,75.959999,76.959999,9747400,58.620342
"2013-02-20",76.790001,76.970001,76.540001,76.650002,7857500,58.384243
"2013-02-21",76.470001,77.019997,76.379997,76.870003,9465700,58.551815
"2013-02-22",76.389999,76.489998,75.970001,76.25,8571500,58.54414
"2013-02-25",76.470001,76.660004,75.57,75.57,10603300,58.022022
"2013-02-26",75.879997,76.339996,75.5,75.75,10742100,58.160233
"2013-02-27",75.68,76.449997,75.599998,76.32,8180300,58.597874
"2013-02-28",76.230003,76.489998,76.110001,76.110001,11806300,58.43663
"2013-03-01",75.790001,76.769997,75.730003,76.699997,9528300,58.889626
"2013-03-04",76.730003,77.279999,76.730003,77.199997,12628000,59.273529
"2013-03-05",77.559998,77.709999,77.440002,77.660004,9399400,59.62672
"2013-03-06",77.690002,77.739998,77.220001,77.389999,8535200,59.419415
"2013-03-07",77.620003,77.959999,77.589996,77.75,7996500,59.69582
"2013-03-08",77.839996,78.220001,77.699997,78.190002,8554100,60.033653
"2013-03-11",77.919998,78.519997,77.839996,78.440002,8807600,60.225578
"2013-03-12",78.5,78.690002,78.209999,78.559998,8790500,60.317711
"2013-03-13",78.519997,78.669998,78.199997,78.550003,7983400,60.310028
"2013-03-14",78.669998,79.099998,78.489998,79.099998,10130400,60.732342
"2013-03-15",78.620003,79.239998,78.620003,79.190002,18296500,60.801418
"2013-03-18",78.720001,79.190002,78.699997,78.809998,8005400,60.509674
"2013-03-19",78.980003,79.089996,78.5,78.860001,7095800,60.548073
"2013-03-20",79.18,79.610001,79.169998,79.449997,8000800,61.001045
"2013-03-21",79.120003,79.5,78.769997,79.010002,8436300,60.663216
"2013-03-22",79.110001,79.739998,79.019997,79.739998,6873100,61.223724
"2013-03-25",79.830002,79.940002,79.470001,79.68,9616600,61.177658
"2013-03-26",79.93,80.879997,79.849998,80.849998,12682900,62.075985
"2013-03-27",80.559998,81.349998,80.269997,81.269997,10703400,62.398438
"2013-03-28",81.370003,81.589996,80.949997,81.529999,11332100,62.598068
"2013-04-01",81.389999,81.959999,81.279999,81.93,7376800,62.905167
