"","MAR.Open","MAR.High","MAR.Low","MAR.Close","MAR.Volume","MAR.Adjusted"
"2013-01-02",38.32,39.41,38.139999,38.790001,3964900,34.840637
"2013-01-03",38.860001,39.34,38.73,39.099998,2810800,35.119068
"2013-01-04",39.23,39.43,38.98,39.23,2285300,35.235847
"2013-01-07",38.939999,39.200001,38.790001,39.009998,1817200,35.038223
"2013-01-08",38.93,39.049999,38.75,38.900002,1716000,34.939434
"2013-01-09",38.98,39.060001,38.73,38.900002,1456600,34.939434
"2013-01-10",39.189999,39.290001,38.849998,39.02,1521500,35.047211
"2013-01-11",38.98,39.099998,38.759998,38.880001,863200,34.921471
"2013-01-14",38.91,39.150002,38.619999,38.73,1227700,34.786736
"2013-01-15",38.580002,39.240002,38.549999,39.16,1830000,35.172958
"2013-01-16",38.959999,39.09,38.700001,38.830002,1182200,34.876556
"2013-01-17",38.950001,39.529999,38.900002,39.279999,2481100,35.280754
"2013-01-18",39.380001,39.400002,38.970001,39.27,1523100,35.271767
"2013-01-22",39.200001,39.299999,38.740002,39.240002,2173200,35.244816
"2013-01-23",39.200001,39.290001,38.91,39.150002,2010600,35.163979
"2013-01-24",39.200001,39.380001,38.830002,38.970001,2456800,35.002304
"2013-01-25",39.16,39.650002,39.049999,39.560001,2912200,35.53223
"2013-01-28",39.509998,40.119999,39.400002,40.099998,4130800,36.017246
"2013-01-29",39.990002,40.25,39.77,40.209999,2281300,36.116062
"2013-01-30",40.130001,40.380001,40.07,40.139999,2246600,36.053192
"2013-01-31",40.23,40.23,39.790001,39.98,2593200,35.909473
"2013-02-01",40.34,40.580002,40.09,40.290001,1852600,36.18792
"2013-02-04",39.990002,40.150002,39.669998,39.77,1830900,35.720856
"2013-02-05",40.02,40.169998,39.849998,39.950001,1836600,35.88253
"2013-02-06",39.889999,40.740002,39.810001,40.66,2508900,36.520245
"2013-02-07",40.549999,40.66,39.990002,40.470001,2087800,36.349583
"2013-02-08",40.529999,41.049999,40.48,40.970001,1965500,36.798679
"2013-02-11",40.970001,41.23,40.759998,41.220001,1182200,37.023224
"2013-02-12",41.189999,41.52,40.889999,41.389999,1637200,37.175915
"2013-02-13",41.580002,41.610001,41.16,41.18,1461000,36.987297
"2013-02-14",40.919998,41.209999,40.779999,41.16,1381300,36.969334
"2013-02-15",41.189999,41.73,41.130001,41.23,3495800,37.032219
"2013-02-19",41.150002,41.150002,40.630001,40.830002,4131200,36.672947
"2013-02-20",39.869999,41,39.52,39.720001,3722300,35.675941
"2013-02-21",39.610001,39.619999,39.049999,39.16,3558500,35.172958
"2013-02-22",39.330002,39.490002,39.040001,39.490002,1832600,35.469383
"2013-02-25",39.700001,39.970001,38.599998,38.599998,3347800,34.669983
"2013-02-26",38.709999,38.919998,38.349998,38.529999,2620200,34.607105
"2013-02-27",38.5,39.43,38.5,39.299999,1638100,35.418213
"2013-02-28",39.34,39.799999,39.240002,39.450001,2701000,35.553398
"2013-03-01",39.279999,39.700001,39.060001,39.57,1580600,35.661537
"2013-03-04",39.5,39.619999,38.93,39.200001,3377400,35.328087
"2013-03-05",39.419998,39.810001,39.34,39.459999,2484200,35.562401
"2013-03-06",39.619999,39.709999,39.299999,39.380001,2254500,35.490303
"2013-03-07",39.490002,39.540001,39.23,39.360001,1950700,35.472275
"2013-03-08",39.68,40.52,39.529999,40.290001,4826500,36.310432
"2013-03-11",40.310001,40.43,39.93,40.240002,3276000,36.265366
"2013-03-12",40.310001,40.560001,39.82,39.98,2374200,36.031036
"2013-03-13",40.049999,40.400002,39.959999,40.18,2199400,36.211292
"2013-03-14",40.259998,40.560001,40.130001,40.419998,1593700,36.427593
"2013-03-15",40.25,40.450001,40.02,40.349998,2691200,36.364491
"2013-03-18",39.790001,40.150002,39.610001,39.900002,2087000,35.958942
"2013-03-19",40,40.07,39.240002,39.549999,2858500,35.643517
"2013-03-20",39.830002,40.220001,39.75,40.02,1473900,36.067093
"2013-03-21",39.759998,39.970001,39.5,39.619999,1431900,35.7066
"2013-03-22",39.700001,39.889999,39.650002,39.849998,1294500,35.913887
"2013-03-25",40,40.119999,39.59,39.759998,1931700,35.832775
"2013-03-26",39.93,41.560001,39.790001,41.290001,5147100,37.211647
"2013-03-27",41.040001,41.700001,40.919998,41.619999,2543600,37.509056
"2013-03-28",41.689999,42.27,41.57,42.23,2391500,38.058796
"2013-04-01",42.119999,42.25,41.599998,41.630001,1777700,37.518063
"2013-04-02",41.860001,41.919998,41.310001,41.459999,1691500,37.364853
"2013-04-03",41.52,41.66,40.849998,41,2291500,36.950287
"2013-04-04",40.98,41.330002,40.880001,41.299999,1549400,37.220654
"2013-04-05",40.59,40.689999,40.200001,40.66,1775100,36.643871
"2013-04-08",40.549999,41.299999,40.5,41.299999,944100,37.220654
"2013-04-09",41.549999,41.869999,41.389999,41.599998,1744900,37.49102
"2013-04-10",41.73,42.150002,41.580002,41.990002,1877000,37.842514
"2013-04-11",42.189999,42.369999,42.080002,42.209999,1702600,38.040779
"2013-04-12",42.07,42.59,41.98,42.59,1123100,38.38324
"2013-04-15",42.200001,42.240002,40.549999,40.709999,4070100,36.688938
"2013-04-16",41.200001,41.75,41.119999,41.75,2480000,37.626217
"2013-04-17",41.419998,41.560001,40.830002,41.130001,1635200,37.067463
"2013-04-18",41.240002,41.389999,40.549999,40.810001,1993900,36.77906
"2013-04-19",40.91,41.43,40.709999,41.34,1267800,37.256706
"2013-04-22",41.380001,41.560001,41.029999,41.330002,1456000,37.247704
"2013-04-23",41.509998,41.939999,41.490002,41.869999,1744400,37.73436
"2013-04-24",41.98,42.060001,41.389999,41.43,1729800,37.337826
"2013-04-25",41.720001,41.919998,41.59,41.639999,2066600,37.527077
"2013-04-26",41.529999,42,41.48,41.57,2228700,37.464008
"2013-04-29",41.5,41.669998,41.209999,41.619999,1661400,37.509056
"2013-04-30",41.799999,43.130001,41.799999,43.060001,3683900,38.806812
"2013-05-01",42.459999,42.91,42.290001,42.48,2508200,38.284107
"2013-05-02",42.57,42.959999,41.450001,42.84,3229800,38.608555
"2013-05-03",43.25,43.560001,42.869999,43.009998,2589500,38.761757
"2013-05-06",43,43.27,42.939999,43.110001,1826300,38.851887
"2013-05-07",43.209999,43.709999,43.209999,43.540001,1217300,39.23941
"2013-05-08",43.34,43.700001,43.220001,43.490002,1657900,39.194347
"2013-05-09",43.509998,43.639999,43.130001,43.23,1710100,38.960037
"2013-05-10",43.349998,43.970001,43.240002,43.970001,1762100,39.626938
"2013-05-13",43.919998,43.93,43.599998,43.630001,1438300,39.320526
"2013-05-14",43.650002,44,43.610001,43.959999,1986200,39.617916
"2013-05-15",43.91,44.450001,43.740002,43.970001,3448500,39.626938
"2013-05-16",43.860001,43.939999,43.130001,43.189999,1089600,38.923977
"2013-05-17",43.32,43.84,43.32,43.73,1786800,39.410648
"2013-05-20",43.689999,43.84,43.310001,43.360001,1355400,39.07719
"2013-05-21",43.369999,43.709999,43.220001,43.48,1282700,39.185345
"2013-05-22",43.34,43.82,42.549999,42.77,1622900,38.696758
"2013-05-23",42.349998,43.16,42.32,42.580002,1889000,38.524857
"2013-05-24",42.380001,42.860001,42.139999,42.77,1442900,38.696758
"2013-05-28",43.25,43.549999,43.080002,43.23,1394300,39.112949
"2013-05-29",42.91,43.080002,42.259998,42.330002,1546500,38.298668
"2013-05-30",42.48,42.91,42.380001,42.52,1521300,38.470577
"2013-05-31",42.419998,42.84,42.009998,42.009998,2352200,38.009148
"2013-06-03",42.349998,42.389999,41.540001,42.200001,2129300,38.181042
"2013-06-04",42.130001,42.23,40.400002,40.41,4192200,36.561527
"2013-06-05",40.240002,40.880001,40.09,40.389999,3339900,36.543427
"2013-06-06",40.330002,41.02,40.09,41.009998,1936400,37.104374
"2013-06-07",41.240002,41.700001,41.099998,41.66,2058800,37.692482
"2013-06-10",41.700001,41.889999,41.380001,41.48,2003800,37.529617
"2013-06-11",41.009998,41.23,40.59,40.84,1778700,36.950569
"2013-06-12",41.130001,41.41,40.279999,40.59,2219800,36.724369
"2013-06-13",40.540001,41.18,40.259998,41.09,1751000,37.176754
"2013-06-14",41.080002,41.540001,40.59,40.77,1352700,36.88723
"2013-06-17",41.02,41.119999,40.529999,40.66,2472600,36.787712
"2013-06-18",40.66,41.099998,40.57,40.82,2055200,36.932472
"2013-06-19",40.779999,41.07,40.41,40.419998,2794200,36.57056
"2013-06-20",39.98,40,38.98,39.049999,2795600,35.331039
"2013-06-21",39.349998,39.540001,38.169998,38.93,4642400,35.22245
"2013-06-24",38.5,39.139999,38.23,38.709999,2635400,35.023418
"2013-06-25",39.279999,39.419998,38.889999,39.349998,2193900,35.602478
"2013-06-26",39.700001,39.84,39.419998,39.450001,2481300,35.692944
"2013-06-27",39.73,40.41,39.630001,40.25,2152600,36.416767
"2013-06-28",40.139999,40.709999,39.959999,40.369999,2708600,36.525337
"2013-07-01",40.669998,40.860001,40.290001,40.32,1602300,36.480091
"2013-07-02",40.380001,40.669998,40.139999,40.23,1953100,36.398659
"2013-07-03",40.009998,40.450001,39.82,40.299999,831700,36.461994
"2013-07-05",40.720001,41.43,40.580002,41.400002,1527300,37.457237
"2013-07-08",41.610001,42.110001,41.59,41.720001,1807100,37.746765
"2013-07-09",41.959999,42.040001,41.450001,41.740002,2054300,37.764851
"2013-07-10",41.75,41.970001,41.470001,41.93,1299500,37.936764
"2013-07-11",42.52,42.689999,42.119999,42.18,1952300,38.162941
"2013-07-12",42.200001,42.32,41.700001,41.73,2183300,37.755814
"2013-07-15",41.740002,41.959999,41.560001,41.580002,1977400,37.620098
"2013-07-16",41.66,41.799999,41.380001,41.490002,1655800,37.538666
"2013-07-17",41.650002,41.700001,41.040001,41.34,1792500,37.402946
"2013-07-18",41.549999,42.259998,41.360001,42.009998,1540400,38.009148
"2013-07-19",41.950001,42,41.080002,41.619999,1702700,37.656296
"2013-07-22",41.529999,41.689999,41.32,41.470001,1163600,37.520569
"2013-07-23",41.549999,41.639999,40.889999,40.950001,1402500,37.050091
"2013-07-24",41.049999,41.07,40.16,40.369999,3310100,36.525337
"2013-07-25",40.369999,41.049999,40.299999,40.860001,2768400,36.968666
"2013-07-26",40.66,41.310001,40.509998,41.259998,1236100,37.330574
"2013-07-29",41.080002,41.5,40.869999,40.959999,1633200,37.059135
"2013-07-30",41.209999,41.5,41.110001,41.389999,1422000,37.448185
"2013-07-31",41.48,42.009998,41.25,41.57,2936700,37.611046
"2013-08-01",40.939999,41.98,40.900002,41.580002,6797100,37.620098
"2013-08-02",41.549999,43,41.41,42.419998,5179400,38.380077
"2013-08-05",42.240002,42.5,41.950001,42.169998,2662700,38.1539
"2013-08-06",42.16,42.380001,41.630001,41.68,1773900,37.710579
"2013-08-07",41.619999,41.630001,40.970001,40.970001,2323200,37.068195
"2013-08-08",41.189999,41.66,40.900002,41.490002,1383200,37.538666
"2013-08-09",41.400002,41.48,40.91,40.939999,1511500,37.041042
"2013-08-12",40.610001,41,40.509998,40.73,1681500,36.851051
"2013-08-13",40.759998,40.810001,40.189999,40.57,1370400,36.70628
"2013-08-14",40.450001,41.689999,40.34,41.080002,3434000,37.167702
"2013-08-15",40.98,41.509998,40.759998,40.889999,2947400,36.995804
"2013-08-16",40.82,40.84,40.360001,40.400002,2164900,36.552471
"2013-08-19",40.400002,40.549999,40.200001,40.25,2239400,36.416767
"2013-08-20",40.16,40.369999,39.970001,40.049999,2089000,36.389511
"2013-08-21",39.970001,40.290001,39.580002,39.889999,2182700,36.244122
"2013-08-22",39.959999,41.610001,39.799999,41.32,2515600,37.54343
"2013-08-23",41.439999,41.580002,40.91,41.16,2936100,37.398056
"2013-08-26",41.16,41.610001,40.950001,41.23,1551600,37.461658
"2013-08-27",40.759998,40.830002,40.330002,40.419998,2372500,36.725685
"2013-08-28",40.349998,40.369999,39.849998,40.150002,2514900,36.480362
"2013-08-29",40,40.709999,39.950001,40.25,1638200,36.571236
"2013-08-30",40.240002,40.450001,39.880001,39.990002,1671500,36.334984
"2013-09-03",40.369999,40.740002,40.240002,40.299999,1860900,36.61665
"2013-09-04",40.220001,41.16,40.169998,40.93,1735500,37.189068
"2013-09-05",40.900002,41.220001,40.610001,40.77,1908300,37.04369
"2013-09-06",40.790001,40.93,40.279999,40.619999,1944600,36.907406
"2013-09-09",40.740002,41.25,40.740002,41.060001,1592500,37.307186
"2013-09-10",41.240002,41.689999,41.240002,41.610001,1460700,37.806923
"2013-09-11",42.09,43.290001,42,42.959999,3687500,39.033527
"2013-09-12",42.990002,43.110001,42.32,42.59,1930100,38.697346
"2013-09-13",42.560001,42.939999,42.470001,42.860001,1497400,38.94268
"2013-09-16",43.310001,43.52,43.02,43.119999,1412600,39.178902
"2013-09-17",43.110001,43.5,43.080002,43.349998,1696400,39.387878
"2013-09-18",43.27,43.939999,42.880001,43.82,1922300,39.81493
"2013-09-19",43.810001,43.990002,43.529999,43.580002,1811600,39.596863
"2013-09-20",43.48,43.509998,43.029999,43.169998,3263900,39.224323
"2013-09-23",43.169998,43.279999,42.709999,43,1807700,39.069885
"2013-09-24",43,43.41,42.849998,43.060001,2737300,39.124397
"2013-09-25",43.049999,43.150002,42.599998,42.810001,1785600,38.897247
"2013-09-26",42.779999,43.110001,42.400002,42.91,2099000,38.988102
