"","PFE.Open","PFE.High","PFE.Low","PFE.Close","PFE.Volume","PFE.Adjusted"
"2013-01-02",24.222012,24.582542,24.032257,24.582542,35332399,17.030144
"2013-01-03",24.648956,24.658443,24.250475,24.525618,35580300,16.990705
"2013-01-04",24.525618,24.658443,24.440228,24.62998,30149565,17.063002
"2013-01-07",24.582542,24.71537,24.449715,24.648956,27172015,17.076153
"2013-01-08",24.667933,24.905123,24.648956,24.686907,32734078,17.10244
"2013-01-09",24.876659,25.199242,24.848198,25.113852,36057551,17.398216
"2013-01-10",25.161289,25.398481,25.037951,25.388994,35926433,17.588835
"2013-01-11",25.37002,25.455408,25.142315,25.161289,29319856,17.431084
"2013-01-14",25.246679,25.502846,25.189753,25.37002,25330360,17.575674
"2013-01-15",25.227703,25.275143,25.142315,25.256166,31553914,17.496811
"2013-01-16",25.170778,25.256166,25.142315,25.246679,30049856,17.49024
"2013-01-17",25.379507,25.578749,25.265656,25.455408,39122372,17.634836
"2013-01-18",25.218216,25.303604,24.990513,25.180265,57740228,17.444235
"2013-01-22",25.208729,25.313093,25.066414,25.313093,34011315,17.536245
"2013-01-23",25.161289,25.37002,25.094877,25.28463,32838951,17.516527
"2013-01-24",25.493359,25.901327,25.464895,25.474382,46845030,17.647985
"2013-01-25",25.597723,25.616697,25.388994,25.616697,54951871,17.746576
"2013-01-28",25.711575,25.749525,25.464895,25.464895,48228194,17.641417
"2013-01-29",25.559772,26.413662,25.464895,26.280834,80102314,18.206673
"2013-01-30",26.119545,26.252373,25.986717,26.100569,47638060,18.239824
"2013-01-31",26.015181,26.157495,25.882353,25.882353,34747323,18.08733
"2013-02-01",26.166983,26.375711,25.967743,26.21442,36676987,18.319387
"2013-02-04",25.967743,26.072105,25.777988,25.777988,32521802,18.014395
"2013-02-05",25.844402,26.185959,25.834915,26.100569,28883711,18.239824
"2013-02-06",26.015181,26.091082,25.891842,25.920303,29236801,18.113852
"2013-02-07",25.92979,25.958254,25.550285,25.578749,40492677,17.875166
"2013-02-08",25.578749,25.645161,25.417458,25.502846,39466608,17.822117
"2013-02-11",25.512335,25.834915,25.512335,25.749525,27722308,17.994513
"2013-02-12",25.749525,25.787476,25.60721,25.60721,22303062,17.89505
"2013-02-13",25.626186,25.796965,25.455408,25.616697,25194816,17.90168
"2013-02-14",25.531309,25.749525,25.436434,25.673624,25517235,17.941463
"2013-02-15",25.759012,26.024668,25.730551,25.891842,31177636,18.093964
"2013-02-19",25.996204,26.290323,25.97723,26.290323,29956788,18.372435
"2013-02-20",26.233397,26.328274,26.138519,26.157495,27465343,18.279602
"2013-02-21",26.005693,26.129032,25.834915,26.005693,25840918,18.173519
"2013-02-22",26.072105,26.091082,25.740038,25.97723,31332153,18.153629
"2013-02-25",25.815939,25.948767,25.464895,25.464895,37458528,17.795603
"2013-02-26",25.512335,25.711575,25.445921,25.645161,31605244,17.921572
"2013-02-27",25.550285,26.129032,25.540796,26.005693,25699787,18.173519
"2013-02-28",25.967743,26.223909,25.958254,25.967743,31720341,18.147001
"2013-03-01",25.787476,26.043644,25.759012,25.986717,30636302,18.160259
"2013-03-04",25.910816,26.280834,25.863379,26.271347,26275271,18.359171
"2013-03-05",26.347248,26.755219,26.347248,26.63188,32779716,18.61112
"2013-03-06",26.660341,26.764706,26.49905,26.679317,28585850,18.64427
"2013-03-07",26.736242,26.925997,26.679317,26.821632,29190319,18.743723
"2013-03-08",26.878557,26.907021,26.603416,26.745731,28489198,18.690685
"2013-03-11",26.717268,26.859583,26.660341,26.802656,26867830,18.730467
"2013-03-12",26.783682,26.783682,26.451612,26.508539,31315816,18.524921
"2013-03-13",26.49905,26.641365,26.375711,26.58444,26071955,18.577967
"2013-03-14",26.603416,26.669828,26.451612,26.669828,29284547,18.637636
"2013-03-15",26.413662,26.622391,26.337761,26.58444,66547874,18.577967
"2013-03-18",26.318787,26.793169,26.318787,26.603416,30906547,18.59123
"2013-03-19",26.660341,26.783682,26.470589,26.555977,28572570,18.558073
"2013-03-20",26.726755,26.944971,26.669828,26.840607,32354006,18.756981
"2013-03-21",26.726755,26.86907,26.593927,26.669828,24856693,18.637636
"2013-03-22",26.679317,26.935484,26.669828,26.925997,24346346,18.816658
"2013-03-25",26.992411,27.049335,26.54649,26.717268,32376350,18.670792
"2013-03-26",26.812143,27.19165,26.783682,27.134726,33567476,18.962521
"2013-03-27",27.058825,27.19165,26.992411,27.172676,24848999,18.989044
"2013-03-28",27.19165,27.419355,27.1537,27.381405,29449919,19.134911
"2013-04-01",27.27704,27.362429,27.210627,27.362429,20320698,19.121647
"2013-04-02",27.485769,27.817837,27.457306,27.732449,25743845,19.380232
"2013-04-03",27.732449,27.836811,27.400379,27.542694,36399679,19.247623
"2013-04-04",27.685009,27.931688,27.552181,27.666035,32182941,19.333822
"2013-04-05",27.47628,27.703985,27.43833,27.609108,32083655,19.294029
"2013-04-08",27.495256,27.675522,27.172676,27.666035,27358994,19.333822
