"","UAL.Open","UAL.High","UAL.Low","UAL.Close","UAL.Volume","UAL.Adjusted"
"2013-01-02",23.83,24.41,23.67,24.190001,2991400,24.190001
"2013-01-03",23.950001,25.17,23.92,24.93,6693900,24.93
"2013-01-04",24.85,25.959999,24.83,25.85,5184900,25.85
"2013-01-07",25.719999,26.110001,25.33,25.67,5527400,25.67
"2013-01-08",25.950001,25.959999,25.4,25.620001,3357400,25.620001
"2013-01-09",25.559999,25.950001,25.200001,25.639999,3610900,25.639999
"2013-01-10",25.77,25.879999,24.9,25.389999,6139000,25.389999
"2013-01-11",25.389999,25.99,25.309999,25.99,4846500,25.99
"2013-01-14",25.84,26.07,25.5,25.99,5334200,25.99
"2013-01-15",25.280001,26.02,25.200001,25.959999,5428700,25.959999
"2013-01-16",25.93,26.23,25.82,26.200001,4152900,26.200001
"2013-01-17",26.23,26.24,25.6,25.76,3477600,25.76
"2013-01-18",25.65,25.85,24.76,24.790001,6662900,24.790001
"2013-01-22",24.790001,25.33,24.290001,25.200001,9634900,25.200001
"2013-01-23",25.5,25.59,24.879999,25,5518500,25
"2013-01-24",25.32,26.370001,25.190001,25.540001,7241900,25.540001
"2013-01-25",24.889999,25.559999,24.35,25.5,7507900,25.5
"2013-01-28",25.34,25.5,24.540001,24.799999,4788700,24.799999
"2013-01-29",24.59,24.719999,23.91,23.959999,4419500,23.959999
"2013-01-30",24.190001,24.190001,23.620001,24.08,3277600,24.08
"2013-01-31",24.02,24.299999,23.809999,24.15,4302900,24.15
"2013-02-01",24.27,24.700001,24.049999,24.18,4099400,24.18
"2013-02-04",24.059999,24.51,23.93,23.950001,4198000,23.950001
"2013-02-05",24.049999,24.559999,23.889999,24.26,4303800,24.26
"2013-02-06",24.280001,25.43,24.26,25.32,7329200,25.32
"2013-02-07",25.27,25.82,25.15,25.719999,4362300,25.719999
"2013-02-08",25.9,26.440001,25.709999,26.309999,4648600,26.309999
"2013-02-11",26.309999,26.639999,25.59,26.51,4570800,26.51
"2013-02-12",26.290001,26.48,25.690001,25.889999,3925800,25.889999
"2013-02-13",25.9,26.33,25.879999,26.190001,4477900,26.190001
"2013-02-14",26.110001,26.190001,25.26,25.870001,6112200,25.870001
"2013-02-15",26.030001,26.84,25.870001,26.370001,6166800,26.370001
"2013-02-19",26.309999,26.799999,26.24,26.75,2979000,26.75
"2013-02-20",26.639999,26.799999,26,26.08,4211600,26.08
"2013-02-21",26.27,26.280001,25.67,25.91,3829700,25.91
"2013-02-22",26,26.5,25.879999,26.360001,2960900,26.360001
